data_timestep, lane_id, lane_queueing_length, lane_queueing_length_experimental, lane_queueing_time
0.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
300.00, MRT_to_KB_001.37_1, 0.00, 15.15, 0.00
300.00, P_to_KBJ_1, 7.25, 7.25, 23.00
300.00, P_to_KBJ_2, 6.05, 6.05, 12.00
600.00, CMB_to_KBJ_001_1, 5.20, 5.20, 95.00
600.00, CMB_to_KBJ_001_2, 12.60, 12.60, 91.00
600.00, CMB_to_KBJ_001_3, 17.50, 17.50, 47.00
600.00, CMB_to_KBJ_001_4, 3.00, 3.00, 25.00
600.00, KBJ_to_CMB_001_1, 0.00, 24.95, 0.00
600.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
600.00, MRT_to_KB_001.37_2, 19.95, 19.95, 55.00
600.00, MRT_to_KB_001.37_3, 19.86, 19.86, 59.00
600.00, MRT_to_KB_001.37_4, 17.60, 17.60, 50.00
600.00, MRT_to_KB_001.37_5, 3.00, 3.00, 20.00
900.00, CMB_to_KBJ_001_1, 8.55, 8.55, 75.00
900.00, CMB_to_KBJ_001_2, 10.90, 10.90, 74.00
900.00, CMB_to_KBJ_001_3, 5.20, 5.20, 19.00
900.00, MRT_to_KB_001.37_1, 0.00, 15.15, 0.00
900.00, MRT_to_KB_001.37_2, 19.97, 19.97, 39.00
900.00, MRT_to_KB_001.37_3, 27.36, 27.36, 30.00
900.00, MRT_to_KB_001.37_4, 25.61, 31.40, 28.00
900.00, P_to_KBJ_1, 3.01, 3.01, 2.00
1200.00, CMB_to_KBJ_001_1, 12.05, 12.05, 53.00
1200.00, CMB_to_KBJ_001_3, 3.55, 3.55, 40.00
1200.00, KBJ_to_CMB_001_1, 0.00, 24.98, 0.00
1200.00, MRT_to_KB_001_1, 0.00, 27.56, 0.00
1200.00, MRT_to_KB_001.37_2, 5.20, 5.20, 10.00
1200.00, MRT_to_KB_001.37_3, 8.70, 11.48, 6.00
1200.00, MRT_to_KB_001.37_4, 10.90, 10.90, 4.00
1200.00, P_to_KBJ_2, 40.61, 40.61, 113.00
1500.00, CMB_to_KBJ_001_2, 6.35, 6.35, 40.00
1500.00, CMB_to_KBJ_001_3, 5.20, 5.20, 31.00
1500.00, CMB_to_KBJ_001_4, 3.00, 3.00, 22.00
1500.00, MRT_to_KB_001.37_1, 0.00, 15.16, 0.00
1500.00, MRT_to_KB_001.37_2, 5.20, 5.20, 2.00
