data_timestep, lane_id, lane_queueing_length, lane_queueing_length_experimental, lane_queueing_time,random_seed,scenario
3000.0, MRT_to_KB_001_1,0.0,27.56,0.0,64607,dynamic_vehicle_data
3000.0, MRT_to_KB_001.37_5,8.85,8.85,33.0,64607,dynamic_vehicle_data
3000.0, P_to_KBJ_1,15.9,15.9,96.0,64607,dynamic_vehicle_data
3000.0, P_to_KBJ_2,63.36,63.36,68.0,64607,dynamic_vehicle_data
3300.0, CMB_to_KBJ_001_1,25.26,13.7,112.0,64607,dynamic_vehicle_data
3300.0, CMB_to_KBJ_001_2,22.75,22.75,79.0,64607,dynamic_vehicle_data
3300.0, CMB_to_KBJ_001_3,7.25,7.25,73.0,64607,dynamic_vehicle_data
3300.0, MRT_to_KB_001_3,7.25,7.25,3.0,64607,dynamic_vehicle_data
3300.0, MRT_to_KB_001.37_1,0.0,15.14,0.0,64607,dynamic_vehicle_data
3300.0, MRT_to_KB_001.37_2,39.86,34.86,68.0,64607,dynamic_vehicle_data
3300.0, MRT_to_KB_001.37_3,39.26,33.56,68.0,64607,dynamic_vehicle_data
3300.0, MRT_to_KB_001.37_4,36.06,30.36,65.0,64607,dynamic_vehicle_data
3300.0, P_to_KBJ_1,3.0,3.0,1.0,64607,dynamic_vehicle_data
3300.0, P_to_KBJ_2,123.18,99.22,158.0,64607,dynamic_vehicle_data
3600.0, CMB_to_KBJ_001_1,11.05,11.05,23.0,64607,dynamic_vehicle_data
3600.0, KBJ_to_CMB_001_1,0.0,24.95,0.0,64607,dynamic_vehicle_data
3600.0, MRT_to_KB_001_1,0.0,27.56,0.0,64607,dynamic_vehicle_data
3600.0, MRT_to_KB_001.37_5,20.1,20.1,41.0,64607,dynamic_vehicle_data
3600.0, P_to_KBJ_1,127.43,102.33,57.0,64607,dynamic_vehicle_data
3600.0, P_to_KBJ_2,127.33,101.87,68.0,64607,dynamic_vehicle_data
3900.0, :J1_0_2,4.7,4.7,1.0,64607,dynamic_vehicle_data
3900.0, :J37_0_0,5.21,5.21,13.0,64607,dynamic_vehicle_data
3900.0, CMB_to_KBJ_001_1,27.46,24.95,125.0,64607,dynamic_vehicle_data
3900.0, CMB_to_KBJ_001_2,14.25,14.25,71.0,64607,dynamic_vehicle_data
3900.0, CMB_to_KBJ_001_3,14.4,14.4,68.0,64607,dynamic_vehicle_data
3900.0, CMB_to_KBJ_001_4,3.0,3.0,46.0,64607,dynamic_vehicle_data
3900.0, MRT_to_KB_001_2,8.59,8.59,3.0,64607,dynamic_vehicle_data
3900.0, MRT_to_KB_001_3,5.2,5.2,2.0,64607,dynamic_vehicle_data
3900.0, MRT_to_KB_001.37_1,0.0,15.14,0.0,64607,dynamic_vehicle_data
3900.0, MRT_to_KB_001.37_2,41.46,31.21,55.0,64607,dynamic_vehicle_data
3900.0, MRT_to_KB_001.37_3,41.46,34.61,59.0,64607,dynamic_vehicle_data
3900.0, MRT_to_KB_001.37_4,40.91,31.81,53.0,64607,dynamic_vehicle_data
3900.0, P_to_KBJ_1,131.72,100.37,100.0,64607,dynamic_vehicle_data
3900.0, P_to_KBJ_2,131.7,99.49,165.0,64607,dynamic_vehicle_data
4200.0, CMB_to_KBJ_001_1,3.55,3.55,19.0,64607,dynamic_vehicle_data
4200.0, KBJ_to_CMB_001_1,0.0,24.95,0.0,64607,dynamic_vehicle_data
4200.0, MRT_to_KB_001_1,0.0,27.56,0.0,64607,dynamic_vehicle_data
4200.0, MRT_to_KB_001.37_5,6.35,6.35,26.0,64607,dynamic_vehicle_data
4200.0, MRT_to_KB_003_1,34.46,6.95,6.0,64607,dynamic_vehicle_data
4200.0, MRT_to_KB_003_2,26.93,26.93,1.0,64607,dynamic_vehicle_data
4200.0, MRT_to_KB_003_3,34.19,26.45,3.0,64607,dynamic_vehicle_data
4200.0, P_to_KBJ_1,131.88,40.46,74.0,64607,dynamic_vehicle_data
4200.0, P_to_KBJ_2,129.68,103.47,56.0,64607,dynamic_vehicle_data
4500.0, :J37_0_1,5.47,5.47,1.0,64607,dynamic_vehicle_data
4500.0, CMB_to_KBJ_001_1,12.95,12.95,38.0,64607,dynamic_vehicle_data
4500.0, CMB_to_KBJ_001_2,27.71,21.41,74.0,64607,dynamic_vehicle_data
4500.0, CMB_to_KBJ_001_3,18.3,18.3,40.0,64607,dynamic_vehicle_data
4500.0, CMB_to_KBJ_001_4,5.2,5.2,33.0,64607,dynamic_vehicle_data
4500.0, MRT_to_KB_001_3,5.2,10.99,7.0,64607,dynamic_vehicle_data
4500.0, MRT_to_KB_001.37_1,0.0,15.14,0.0,64607,dynamic_vehicle_data
4500.0, MRT_to_KB_001.37_2,40.31,32.11,53.0,64607,dynamic_vehicle_data
4500.0, MRT_to_KB_001.37_3,36.06,32.71,52.0,64607,dynamic_vehicle_data
4500.0, MRT_to_KB_001.37_4,34.01,34.01,49.0,64607,dynamic_vehicle_data
4500.0, MRT_to_KB_001.37_5,21.79,21.79,12.0,64607,dynamic_vehicle_data
4500.0, P_to_KBJ_1,130.0,65.6,101.0,64607,dynamic_vehicle_data
4500.0, P_to_KBJ_2,127.78,102.17,157.0,64607,dynamic_vehicle_data
4800.0, P_to_KBJ_1,85.38,85.38,46.0,64607,dynamic_vehicle_data
4800.0, P_to_KBJ_2,107.12,100.82,51.0,64607,dynamic_vehicle_data
5100.0, P_to_KBJ_1,131.55,0.0,100.0,64607,dynamic_vehicle_data
5100.0, P_to_KBJ_2,130.23,100.37,148.0,64607,dynamic_vehicle_data
5400.0, P_to_KBJ_1,8.85,8.85,52.0,64607,dynamic_vehicle_data
5400.0, P_to_KBJ_2,43.51,43.51,46.0,64607,dynamic_vehicle_data
0.0, MRT_to_KB_001_1,0.0,27.56,0.0,11332,dynamic_vehicle_data
300.0, CMB_to_KBJ_001_1,7.7,7.7,57.0,11332,dynamic_vehicle_data
300.0, CMB_to_KBJ_001_2,3.55,3.55,29.0,11332,dynamic_vehicle_data
300.0, MRT_to_KB_001.37_1,0.0,15.15,0.0,11332,dynamic_vehicle_data
300.0, MRT_to_KB_001.37_2,20.11,25.85,49.0,11332,dynamic_vehicle_data
300.0, MRT_to_KB_001.37_3,21.61,21.61,46.0,11332,dynamic_vehicle_data
300.0, MRT_to_KB_001.37_4,29.01,29.01,39.0,11332,dynamic_vehicle_data
300.0, P_to_KBJ_2,24.61,24.61,120.0,11332,dynamic_vehicle_data
600.0, KBJ_to_CMB_001_1,0.0,24.97,0.0,11332,dynamic_vehicle_data
600.0, MRT_to_KB_001_1,0.0,27.56,0.0,11332,dynamic_vehicle_data
600.0, MRT_to_KB_001.37_5,3.0,3.0,3.0,11332,dynamic_vehicle_data
600.0, P_to_KBJ_1,3.0,3.0,58.0,11332,dynamic_vehicle_data
900.0, CMB_to_KBJ_001_1,11.05,11.05,59.0,11332,dynamic_vehicle_data
900.0, CMB_to_KBJ_001_2,3.0,3.0,6.0,11332,dynamic_vehicle_data
900.0, CMB_to_KBJ_001_4,3.0,3.0,42.0,11332,dynamic_vehicle_data
900.0, MRT_to_KB_001.37_1,0.0,15.15,0.0,11332,dynamic_vehicle_data
900.0, MRT_to_KB_001.37_2,27.16,27.16,46.0,11332,dynamic_vehicle_data
900.0, MRT_to_KB_001.37_3,20.1,20.1,44.0,11332,dynamic_vehicle_data
900.0, MRT_to_KB_001.37_4,25.81,25.81,32.0,11332,dynamic_vehicle_data
900.0, P_to_KBJ_2,30.81,30.81,111.0,11332,dynamic_vehicle_data
1200.0, CMB_to_KBJ_001_1,3.55,3.55,10.0,11332,dynamic_vehicle_data
1200.0, KBJ_to_CMB_001_1,0.0,24.95,0.0,11332,dynamic_vehicle_data
1200.0, MRT_to_KB_001_1,0.0,27.56,0.0,11332,dynamic_vehicle_data
1200.0, MRT_to_KB_001.37_5,8.7,8.7,72.0,11332,dynamic_vehicle_data
1200.0, P_to_KBJ_1,13.4,13.4,77.0,11332,dynamic_vehicle_data
1200.0, P_to_KBJ_2,40.96,40.96,76.0,11332,dynamic_vehicle_data
1500.0, CMB_to_KBJ_001_1,12.35,12.35,133.0,11332,dynamic_vehicle_data
1500.0, CMB_to_KBJ_001_2,9.25,9.25,86.0,11332,dynamic_vehicle_data
1500.0, CMB_to_KBJ_001_3,3.55,3.55,69.0,11332,dynamic_vehicle_data
1500.0, CMB_to_KBJ_001_4,9.85,9.85,61.0,11332,dynamic_vehicle_data
1500.0, MRT_to_KB_001.37_1,0.0,15.14,0.0,11332,dynamic_vehicle_data
1500.0, MRT_to_KB_001.37_2,17.6,17.6,64.0,11332,dynamic_vehicle_data
1500.0, MRT_to_KB_001.37_3,25.81,25.81,61.0,11332,dynamic_vehicle_data
1500.0, MRT_to_KB_001.37_4,23.66,23.66,54.0,11332,dynamic_vehicle_data
1500.0, P_to_KBJ_2,58.41,58.41,108.0,11332,dynamic_vehicle_data
1800.0, KBJ_to_CMB_001_1,0.0,24.95,0.0,11332,dynamic_vehicle_data
1800.0, MRT_to_KB_001_1,0.0,27.56,0.0,11332,dynamic_vehicle_data
1800.0, MRT_to_KB_001.37_5,10.9,10.9,39.0,11332,dynamic_vehicle_data
1800.0, P_to_KBJ_1,16.55,16.55,83.0,11332,dynamic_vehicle_data
1800.0, P_to_KBJ_2,17.0,17.0,35.0,11332,dynamic_vehicle_data
2100.0, CMB_to_KBJ_001_1,13.8,17.35,86.0,11332,dynamic_vehicle_data
2100.0, CMB_to_KBJ_001_2,8.55,8.55,64.0,11332,dynamic_vehicle_data
2100.0, CMB_to_KBJ_001_3,5.2,11.08,64.0,11332,dynamic_vehicle_data
2100.0, CMB_to_KBJ_001_4,5.2,5.2,47.0,11332,dynamic_vehicle_data
2100.0, MRT_to_KB_001.37_1,0.0,15.15,0.0,11332,dynamic_vehicle_data
2100.0, MRT_to_KB_001.37_2,26.86,26.86,59.0,11332,dynamic_vehicle_data
2100.0, MRT_to_KB_001.37_3,36.91,33.56,55.0,11332,dynamic_vehicle_data
2100.0, MRT_to_KB_001.37_4,34.16,31.66,46.0,11332,dynamic_vehicle_data
2100.0, P_to_KBJ_2,103.72,98.02,159.0,11332,dynamic_vehicle_data
2400.0, KBJ_to_CMB_001_1,0.0,24.98,0.0,11332,dynamic_vehicle_data
2400.0, MRT_to_KB_001_1,0.0,27.56,0.0,11332,dynamic_vehicle_data
2400.0, MRT_to_KB_001.37_5,17.5,17.5,92.0,11332,dynamic_vehicle_data
2400.0, P_to_KBJ_1,8.85,8.85,34.0,11332,dynamic_vehicle_data
2400.0, P_to_KBJ_2,52.21,52.21,56.0,11332,dynamic_vehicle_data
2700.0, CMB_to_KBJ_001_1,14.4,14.4,97.0,11332,dynamic_vehicle_data
2700.0, CMB_to_KBJ_001_2,10.9,10.9,51.0,11332,dynamic_vehicle_data
2700.0, CMB_to_KBJ_001_3,3.55,3.55,50.0,11332,dynamic_vehicle_data
2700.0, MRT_to_KB_001.37_1,0.0,15.15,0.0,11332,dynamic_vehicle_data
2700.0, MRT_to_KB_001.37_2,19.1,24.82,48.0,11332,dynamic_vehicle_data
2700.0, MRT_to_KB_001.37_3,17.2,17.2,45.0,11332,dynamic_vehicle_data
2700.0, MRT_to_KB_001.37_4,31.11,31.11,37.0,11332,dynamic_vehicle_data
2700.0, P_to_KBJ_2,78.72,78.72,152.0,11332,dynamic_vehicle_data
3000.0, :KB_Junction_2_0,2.87,2.87,12.0,11332,dynamic_vehicle_data
3000.0, CMB_to_KBJ_001_1,11.05,11.05,12.0,11332,dynamic_vehicle_data
3000.0, KBJ_to_CMB_001_1,0.0,24.95,0.0,11332,dynamic_vehicle_data
3000.0, MRT_to_KB_001_1,0.0,27.56,0.0,11332,dynamic_vehicle_data
3000.0, MRT_to_KB_001.37_5,8.55,8.55,13.0,11332,dynamic_vehicle_data
3000.0, P_to_KBJ_1,3.55,3.55,10.0,11332,dynamic_vehicle_data
3000.0, P_to_KBJ_2,62.41,62.41,47.0,11332,dynamic_vehicle_data
3300.0, CMB_to_KBJ_001_1,21.65,21.65,69.0,11332,dynamic_vehicle_data
3300.0, CMB_to_KBJ_001_2,10.9,10.9,58.0,11332,dynamic_vehicle_data
3300.0, CMB_to_KBJ_001_3,5.2,5.2,3.0,11332,dynamic_vehicle_data
3300.0, MRT_to_KB_001.37_1,0.0,15.14,0.0,11332,dynamic_vehicle_data
3300.0, MRT_to_KB_001.37_2,26.4,26.4,32.0,11332,dynamic_vehicle_data
3300.0, MRT_to_KB_001.37_3,22.46,22.46,27.0,11332,dynamic_vehicle_data
3300.0, MRT_to_KB_001.37_4,31.26,31.26,27.0,11332,dynamic_vehicle_data
3300.0, P_to_KBJ_1,129.5,0.0,42.0,11332,dynamic_vehicle_data
3300.0, P_to_KBJ_2,130.78,100.32,143.0,11332,dynamic_vehicle_data
3600.0, CMB_to_KBJ_001_1,7.7,7.7,8.0,11332,dynamic_vehicle_data
3600.0, KBJ_to_CMB_001_1,0.0,24.95,0.0,11332,dynamic_vehicle_data
3600.0, MRT_to_KB_001_1,0.0,27.56,0.0,11332,dynamic_vehicle_data
3600.0, MRT_to_KB_001.37_5,11.05,14.42,22.0,11332,dynamic_vehicle_data
