interval_begin, interval_end, interval_haltingDurationSum, interval_id, interval_intervalHaltingDurationSum, interval_jamLengthInMetersSum, interval_jamLengthInVehiclesSum, interval_maxHaltingDuration, interval_maxIntervalHaltingDuration, interval_maxJamLengthInMeters, interval_maxJamLengthInVehicles, interval_maxOccupancy, interval_maxVehicleNumber, interval_meanHaltingDuration, interval_meanIntervalHaltingDuration, interval_meanMaxJamLengthInMeters, interval_meanMaxJamLengthInVehicles, interval_meanOccupancy, interval_meanSpeed, interval_meanTimeLoss, interval_meanVehicleNumber, interval_nVehEntered, interval_nVehLeft, interval_nVehSeen, interval_sampledSeconds, interval_startedHalts,random_seed,scenario
900.0,1200.0,244.0, CMB_to_KBJ_001_1,221.0,1886.32,220,179.0,179.0,10.0,1,100.0,2,122.0,110.5,6.29,0.73,65.03,0.29,46.15,0.8,4,5,5,235.1,1.0,2,Static TL
1200.0,1500.0,242.0, CMB_to_KBJ_001_1,242.0,1098.2,240,131.0,131.0,10.0,2,100.0,2,121.0,121.0,3.66,0.8,30.36,0.4,36.52,0.9,7,7,7,262.28,2.0,2,Static TL
1500.0,1800.0,286.0, CMB_to_KBJ_001_1,286.0,1542.49,402,118.0,118.0,10.0,2,100.0,2,95.33,95.33,5.14,1.34,42.3,0.24,52.15,1.43,8,6,8,424.13,4.0,2,Static TL
1800.0,2100.0,564.0, CMB_to_KBJ_001_1,396.0,976.88,391,184.0,82.0,10.0,4,69.97,4,80.57,56.57,3.26,1.3,26.77,0.4,25.72,1.45,14,13,16,422.08,5.0,2,Static TL
2100.0,2400.0,525.0, CMB_to_KBJ_001_1,404.0,1775.18,402,182.0,182.0,9.65,3,100.0,3,105.0,80.8,5.92,1.34,47.36,0.35,32.43,1.48,10,13,13,431.11,2.0,2,Static TL
2400.0,2700.0,219.0, CMB_to_KBJ_001_1,219.0,992.51,217,128.0,128.0,8.9,2,94.9,2,109.5,109.5,3.31,0.72,29.04,0.69,19.78,0.87,12,12,12,248.25,3.0,2,Static TL
2700.0,3000.0,363.0, CMB_to_KBJ_001_1,363.0,1471.2,358,101.0,101.0,8.75,2,100.0,2,72.6,72.6,4.9,1.19,40.95,0.42,31.39,1.33,12,10,12,386.77,5.0,2,Static TL
3000.0,3300.0,838.0, CMB_to_KBJ_001_1,677.0,2349.17,673,189.0,189.0,9.92,3,79.01,3,139.67,112.83,7.83,2.24,65.95,0.27,46.67,2.43,13,14,15,711.91,4.0,2,Static TL
3300.0,3600.0,347.0, CMB_to_KBJ_001_1,347.0,1555.7,342,152.0,152.0,10.0,3,94.61,3,69.4,69.4,5.19,1.14,44.84,0.66,17.94,1.37,20,18,21,393.05,5.0,2,Static TL
3600.0,3900.0,662.0, CMB_to_KBJ_001_1,599.0,2069.77,596,184.0,164.0,10.0,3,88.48,3,110.33,99.83,6.9,1.99,57.57,0.23,43.92,2.11,11,12,14,624.27,3.0,2,Static TL
3900.0,4200.0,833.0, CMB_to_KBJ_001_1,722.0,2755.5,719,176.0,176.0,10.0,3,85.94,3,166.6,144.4,9.19,2.4,70.33,0.16,66.87,2.5,9,8,11,743.01,3.0,2,Static TL
