data_timestep, lane_id, lane_queueing_length, lane_queueing_length_experimental, lane_queueing_time,random_seed,scenario
2700.0, MRT_to_KB_001.37_5,19.1,19.1,129.0,64607,static_vehicle_data
2700.0, P_to_KBJ_1,27.71,27.71,128.0,64607,static_vehicle_data
2700.0, P_to_KBJ_2,34.01,34.01,70.0,64607,static_vehicle_data
3000.0, CMB_to_KBJ_001_1,23.76,23.76,87.0,64607,static_vehicle_data
3000.0, CMB_to_KBJ_001_2,20.65,20.65,46.0,64607,static_vehicle_data
3000.0, KBJ_to_CMB_001_1,0.0,24.95,0.0,64607,static_vehicle_data
3000.0, MRT_to_KB_001_1,0.0,27.56,0.0,64607,static_vehicle_data
3000.0, MRT_to_KB_001.37_2,3.0,3.0,4.0,64607,static_vehicle_data
3000.0, MRT_to_KB_001.37_3,5.2,5.2,1.0,64607,static_vehicle_data
3000.0, P_to_KBJ_1,0.0,41.52,0.0,64607,static_vehicle_data
3000.0, P_to_KBJ_2,97.52,97.52,132.0,64607,static_vehicle_data
3300.0, :J37_0_0,0.0,5.4,0.0,64607,static_vehicle_data
3300.0, CMB_to_KBJ_001_1,27.46,21.76,151.0,64607,static_vehicle_data
3300.0, CMB_to_KBJ_001_2,18.9,18.9,103.0,64607,static_vehicle_data
3300.0, CMB_to_KBJ_001_3,11.2,11.2,96.0,64607,static_vehicle_data
3300.0, CMB_to_KBJ_001_4,10.75,10.75,77.0,64607,static_vehicle_data
3300.0, MRT_to_KB_001_2,21.11,21.11,19.0,64607,static_vehicle_data
3300.0, MRT_to_KB_001_3,25.41,19.7,14.0,64607,static_vehicle_data
3300.0, MRT_to_KB_001.37_1,0.0,15.16,0.0,64607,static_vehicle_data
3300.0, MRT_to_KB_001.37_2,40.36,32.61,81.0,64607,static_vehicle_data
3300.0, MRT_to_KB_001.37_3,37.36,31.51,74.0,64607,static_vehicle_data
3300.0, MRT_to_KB_001.37_4,38.56,32.86,67.0,64607,static_vehicle_data
3300.0, MRT_to_KB_001.37_5,11.63,11.63,10.0,64607,static_vehicle_data
3300.0, P_to_KBJ_2,130.73,98.87,62.0,64607,static_vehicle_data
3600.0, KBJ_to_CMB_001_1,0.0,24.99,0.0,64607,static_vehicle_data
3600.0, KBJ_to_P_1,112.85,0.0,1.0,64607,static_vehicle_data
3600.0, MRT_to_KB_001_1,0.0,27.56,0.0,64607,static_vehicle_data
3600.0, MRT_to_KB_001_3,0.0,24.08,0.0,64607,static_vehicle_data
3600.0, MRT_to_KB_001_4,21.48,21.48,3.0,64607,static_vehicle_data
3600.0, MRT_to_KB_001.37_4,0.0,31.19,0.0,64607,static_vehicle_data
3600.0, MRT_to_KB_001.37_5,32.84,32.84,5.0,64607,static_vehicle_data
3600.0, MRT_to_KB_003_1,32.22,29.71,65.0,64607,static_vehicle_data
3600.0, MRT_to_KB_003_2,33.82,27.96,91.0,64607,static_vehicle_data
3600.0, MRT_to_KB_003_3,30.2,24.5,41.0,64607,static_vehicle_data
3600.0, P_to_KBJ_1,41.66,41.66,58.0,64607,static_vehicle_data
3600.0, P_to_KBJ_2,50.12,61.64,17.0,64607,static_vehicle_data
3900.0, CMB_to_KBJ_001_1,3.55,3.55,10.0,64607,static_vehicle_data
3900.0, MRT_to_KB_001.37_1,0.0,15.15,0.0,64607,static_vehicle_data
3900.0, MRT_to_KB_001.37_5,33.71,33.71,67.0,64607,static_vehicle_data
3900.0, P_to_KBJ_1,128.38,100.27,123.0,64607,static_vehicle_data
3900.0, P_to_KBJ_2,127.38,101.08,76.0,64607,static_vehicle_data
4200.0, CMB_to_KBJ_001_1,11.75,11.75,72.0,64607,static_vehicle_data
4200.0, CMB_to_KBJ_001_2,23.71,21.2,54.0,64607,static_vehicle_data
4200.0, CMB_to_KBJ_001_3,26.66,20.96,44.0,64607,static_vehicle_data
4200.0, CMB_to_KBJ_001_4,20.7,20.7,37.0,64607,static_vehicle_data
4200.0, KBJ_to_CMB_001_1,0.0,24.95,0.0,64607,static_vehicle_data
4200.0, MRT_to_KB_001_1,0.0,27.56,0.0,64607,static_vehicle_data
4200.0, MRT_to_KB_001_2,0.0,5.4,0.0,64607,static_vehicle_data
4200.0, MRT_to_KB_001.37_2,33.71,33.71,22.0,64607,static_vehicle_data
4200.0, MRT_to_KB_001.37_3,22.3,28.66,18.0,64607,static_vehicle_data
4200.0, MRT_to_KB_001.37_4,14.4,20.17,13.0,64607,static_vehicle_data
4200.0, P_to_KBJ_1,132.08,98.82,73.0,64607,static_vehicle_data
