tripinfo_arrival, tripinfo_arrivalLane, tripinfo_arrivalPos, tripinfo_arrivalPosLat, tripinfo_arrivalSpeed, tripinfo_depart, tripinfo_departDelay, tripinfo_departLane, tripinfo_departPos, tripinfo_departPosLat, tripinfo_departSpeed, tripinfo_devices, tripinfo_duration, tripinfo_id, tripinfo_rerouteNo, tripinfo_routeLength, tripinfo_speedFactor, tripinfo_stopTime, tripinfo_timeLoss, tripinfo_vType, tripinfo_vaporized, tripinfo_waitingCount, tripinfo_waitingTime,random_seed,scenario
82.0, KBJ_to_P_2,128.65,0.0,15.61,8.0,0.71, MRT_to_KB_001_4,2.1,0.0,0.0, tripinfo_0_2,74.0, 0_2,0,249.81,1.19,0.0,58.11, Motor_Cycle, ,1,47.0,64607,dynamic_DQL_vehicle_data
86.0, KB_to_MRT_002_2,130.27,-0.45,15.93,52.0,0.04, P_to_KBJ_1,4.3,0.0,0.0, tripinfo_0_24,34.0, 0_24,0,335.94,0.99,0.0,10.35, Car, ,0,0.0,64607,dynamic_DQL_vehicle_data
87.0, KBJ_to_P_2,128.65,-0.57,13.46,47.0,0.07, MRT_to_KB_003_3,6.35,0.0,0.0, tripinfo_0_21,40.0, 0_21,0,296.13,0.97,0.0,17.24, Goods_Vehicle, ,1,5.0,64607,dynamic_DQL_vehicle_data
112.0, KBJ_to_P_2,128.65,0.0,14.7,89.0,0.67, MRT_to_KB_001_4,2.1,0.0,0.0, tripinfo_0_36,23.0, 0_36,0,249.81,1.09,0.0,6.25, Motor_Cycle, ,0,0.0,64607,dynamic_DQL_vehicle_data
126.0, KBJ_to_CMB_002_3,146.55,0.0,17.41,49.0,0.12, P_to_KBJ_2,2.1,0.0,0.0, tripinfo_0_22,77.0, 0_22,0,391.01,1.13,0.0,53.52, Motor_Cycle, ,1,43.0,64607,dynamic_DQL_vehicle_data
147.0, KBJ_to_CMB_001_2,57.78,1.2,19.54,89.0,0.92, MRT_to_KB_003_1,2.1,0.0,0.0, tripinfo_0_35,58.0, 0_35,0,234.19,1.18,0.0,43.54, Motor_Cycle, ,1,32.0,64607,dynamic_DQL_vehicle_data
151.0, KBJ_to_CMB_001_3,57.78,-0.45,12.35,97.0,0.11, MRT_to_KB_003_2,4.3,0.0,0.0, tripinfo_0_38,54.0, 0_38,0,231.99,1.13,0.0,39.92, Car, ,1,28.0,64607,dynamic_DQL_vehicle_data
156.0, KB_to_MRT_002_3,130.27,0.05,16.28,102.0,0.6, CMB_to_KBJ_001_4,2.65,0.0,0.0, tripinfo_0_39,54.0, 0_39,0,251.49,0.99,0.0,38.69, 3_Wheeler, ,1,27.0,64607,dynamic_DQL_vehicle_data
157.0, KBJ_to_CMB_002_2,146.55,-0.45,16.42,59.0,0.43, MRT_to_KB_001_2,4.3,0.0,0.0, tripinfo_0_27,98.0, 0_27,0,346.58,1.03,0.0,76.18, Car, ,1,66.0,64607,dynamic_DQL_vehicle_data
157.0, KBJ_to_CMB_002_3,146.55,-0.6,16.99,75.0,0.68, MRT_to_KB_001.37_4,4.3,0.0,0.0, tripinfo_0_29,82.0, 0_29,0,297.79,1.06,0.0,63.73, Car, ,1,54.0,64607,dynamic_DQL_vehicle_data
