interval_begin, interval_end, interval_haltingDurationSum, interval_id, interval_intervalHaltingDurationSum, interval_jamLengthInMetersSum, interval_jamLengthInVehiclesSum, interval_maxHaltingDuration, interval_maxIntervalHaltingDuration, interval_maxJamLengthInMeters, interval_maxJamLengthInVehicles, interval_maxOccupancy, interval_maxVehicleNumber, interval_meanHaltingDuration, interval_meanIntervalHaltingDuration, interval_meanMaxJamLengthInMeters, interval_meanMaxJamLengthInVehicles, interval_meanOccupancy, interval_meanSpeed, interval_meanTimeLoss, interval_meanVehicleNumber, interval_nVehEntered, interval_nVehLeft, interval_nVehSeen, interval_sampledSeconds, interval_startedHalts
0.00, 300.00, 132.00, CMB_to_KBJ_001_2, 132.00, 521.57, 148, 64.00, 64.00, 10.00, 3, 100.00, 3, 44.00, 44.00, 1.74, 0.49, 15.49, 1.01, 11.89, 0.63, 14, 14, 14, 177.21, 7.00
300.00, 600.00, 82.00, CMB_to_KBJ_001_2, 82.00, 375.30, 96, 38.00, 38.00, 10.00, 3, 100.00, 3, 20.50, 20.50, 1.25, 0.32, 14.75, 1.92, 6.30, 0.49, 18, 15, 18, 128.65, 5.00
600.00, 900.00, 419.00, CMB_to_KBJ_001_2, 342.00, 1111.51, 340, 148.00, 112.00, 10.00, 3, 100.00, 3, 83.80, 68.40, 3.71, 1.13, 27.71, 0.30, 35.38, 1.22, 7, 9, 10, 360.31, 2.00
900.00, 1200.00, 257.00, CMB_to_KBJ_001_2, 257.00, 1301.97, 313, 149.00, 149.00, 10.00, 2, 88.91, 3, 51.40, 51.40, 4.34, 1.04, 38.59, 0.33, 30.36, 1.17, 10, 11, 11, 340.95, 6.00
1200.00, 1500.00, 204.00, CMB_to_KBJ_001_2, 204.00, 733.90, 226, 146.00, 146.00, 10.00, 3, 100.00, 3, 68.00, 68.00, 2.45, 0.75, 23.32, 0.69, 17.08, 0.88, 14, 14, 14, 249.93, 5.00
1500.00, 1800.00, 524.00, CMB_to_KBJ_001_2, 524.00, 1779.00, 518, 146.00, 146.00, 10.00, 3, 100.00, 3, 87.33, 87.33, 5.93, 1.73, 48.13, 0.39, 27.09, 1.91, 20, 17, 20, 555.34, 8.00
1800.00, 2100.00, 631.00, CMB_to_KBJ_001_2, 483.00, 1968.69, 476, 142.00, 115.00, 10.00, 3, 94.02, 3, 63.10, 48.30, 6.56, 1.59, 57.18, 0.35, 31.40, 1.75, 13, 14, 16, 513.43, 7.00
2100.00, 2400.00, 630.00, CMB_to_KBJ_001_2, 406.00, 1495.29, 438, 140.00, 140.00, 10.00, 3, 100.00, 3, 105.00, 67.67, 4.98, 1.46, 41.71, 0.69, 18.23, 1.73, 24, 26, 26, 495.26, 5.00
2400.00, 2700.00, 146.00, CMB_to_KBJ_001_2, 146.00, 1022.18, 144, 126.00, 126.00, 10.00, 2, 97.21, 2, 73.00, 73.00, 3.41, 0.48, 36.36, 1.02, 9.93, 0.61, 16, 16, 16, 169.40, 3.00
2700.00, 3000.00, 330.00, CMB_to_KBJ_001_2, 330.00, 1638.14, 351, 118.00, 118.00, 10.00, 3, 100.00, 3, 55.00, 55.00, 5.46, 1.17, 51.44, 0.54, 21.01, 1.35, 18, 15, 18, 391.18, 8.00
3000.00, 3300.00, 513.00, CMB_to_KBJ_001_2, 399.00, 1688.24, 395, 129.00, 109.00, 10.00, 3, 96.74, 3, 73.28, 57.00, 5.63, 1.32, 51.63, 0.63, 19.47, 1.55, 19, 21, 22, 445.45, 4.00
3300.00, 3600.00, 224.00, CMB_to_KBJ_001_2, 224.00, 994.98, 222, 121.00, 121.00, 9.35, 2, 100.00, 2, 112.00, 112.00, 3.32, 0.74, 29.55, 1.42, 9.02, 0.97, 26, 27, 27, 266.03, 2.00
3600.00, 3900.00, 300.00, CMB_to_KBJ_001_2, 300.00, 1298.58, 292, 126.00, 126.00, 9.10, 2, 100.00, 3, 37.50, 37.50, 4.33, 0.97, 38.49, 0.75, 16.04, 1.18, 20, 18, 20, 336.55, 8.00
3900.00, 4200.00, 433.00, CMB_to_KBJ_001_2, 393.00, 1711.61, 390, 125.00, 103.00, 9.42, 2, 74.02, 2, 86.60, 78.60, 5.71, 1.30, 46.32, 0.50, 24.28, 1.47, 15, 15, 17, 425.87, 3.00
4200.00, 4500.00, 511.00, CMB_to_KBJ_001_2, 323.00, 1231.73, 321, 133.00, 133.00, 9.40, 2, 100.00, 2, 127.75, 80.75, 4.11, 1.07, 41.26, 1.26, 9.35, 1.39, 36, 37, 38, 385.02, 3.00
4500.00, 4800.00, 0.00, CMB_to_KBJ_001_2, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 100.00, 1, 0.00, 0.00, 0.00, 0.00, 0.47, 13.39, 0.24, 0.02, 2, 3, 3, 3.47, 0.00
4800.00, 5100.00, 0.00, CMB_to_KBJ_001_2, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, -1.00, -1.00, 0.00, 0, 0, 0, 0.00, 0.00
5100.00, 5153.00, 0.00, CMB_to_KBJ_001_2, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, -1.00, -1.00, 0.00, 0, 0, 0, 0.00, 0.00
