interval_begin, interval_end, interval_haltingDurationSum, interval_id, interval_intervalHaltingDurationSum, interval_jamLengthInMetersSum, interval_jamLengthInVehiclesSum, interval_maxHaltingDuration, interval_maxIntervalHaltingDuration, interval_maxJamLengthInMeters, interval_maxJamLengthInVehicles, interval_maxOccupancy, interval_maxVehicleNumber, interval_meanHaltingDuration, interval_meanIntervalHaltingDuration, interval_meanMaxJamLengthInMeters, interval_meanMaxJamLengthInVehicles, interval_meanOccupancy, interval_meanSpeed, interval_meanTimeLoss, interval_meanVehicleNumber, interval_nVehEntered, interval_nVehLeft, interval_nVehSeen, interval_sampledSeconds, interval_startedHalts
0.00, 300.00, 286.00, MRT_to_KB_001.37_2, 286.00, 952.46, 283, 109.00, 109.00, 10.00, 3, 100.00, 3, 95.33, 95.33, 3.17, 0.94, 28.51, 1.83, 6.11, 1.31, 49, 48, 49, 346.02, 3.00
300.00, 600.00, 220.00, MRT_to_KB_001.37_2, 220.00, 700.49, 222, 89.00, 89.00, 10.00, 3, 62.50, 3, 73.33, 73.33, 2.33, 0.74, 20.95, 2.35, 4.50, 1.15, 53, 54, 54, 292.93, 5.00
600.00, 900.00, 353.00, MRT_to_KB_001.37_2, 353.00, 1199.33, 349, 92.00, 92.00, 10.00, 3, 100.00, 3, 70.60, 70.60, 4.00, 1.16, 38.35, 1.38, 8.41, 1.54, 45, 43, 45, 419.97, 6.00
900.00, 1200.00, 453.00, MRT_to_KB_001.37_2, 372.00, 1344.13, 369, 104.00, 104.00, 10.00, 3, 79.99, 3, 90.60, 74.40, 4.48, 1.23, 35.85, 1.30, 8.90, 1.58, 42, 44, 44, 432.80, 3.00
1200.00, 1500.00, 187.00, MRT_to_KB_001.37_2, 187.00, 909.41, 184, 95.00, 95.00, 10.00, 2, 79.99, 2, 62.33, 62.33, 3.03, 0.61, 32.25, 3.19, 3.09, 1.10, 66, 65, 66, 267.05, 4.00
1500.00, 1800.00, 491.00, MRT_to_KB_001.37_2, 491.00, 1234.72, 485, 125.00, 125.00, 10.00, 4, 70.43, 4, 81.83, 81.83, 4.12, 1.62, 35.97, 1.12, 10.52, 2.02, 48, 47, 49, 560.82, 6.00
1800.00, 2100.00, 405.00, MRT_to_KB_001.37_2, 363.00, 1639.72, 361, 106.00, 100.00, 9.18, 2, 71.42, 2, 101.25, 90.75, 5.47, 1.20, 47.99, 1.28, 9.00, 1.53, 40, 40, 42, 419.49, 2.00
2100.00, 2400.00, 414.00, MRT_to_KB_001.37_2, 216.00, 1053.53, 215, 121.00, 94.00, 10.00, 2, 79.99, 2, 103.50, 54.00, 3.51, 0.72, 37.91, 2.74, 3.78, 1.29, 65, 67, 67, 317.55, 4.00
2400.00, 2700.00, 364.00, MRT_to_KB_001.37_2, 364.00, 830.97, 360, 114.00, 114.00, 9.95, 4, 69.42, 4, 91.00, 91.00, 2.77, 1.20, 26.29, 1.72, 6.54, 1.67, 59, 59, 59, 441.04, 4.00
2700.00, 3000.00, 395.00, MRT_to_KB_001.37_2, 395.00, 1457.57, 391, 102.00, 102.00, 10.00, 3, 79.99, 3, 79.00, 79.00, 4.86, 1.30, 42.63, 1.24, 8.92, 1.70, 47, 45, 47, 462.61, 6.00
3000.00, 3300.00, 461.00, MRT_to_KB_001.37_2, 342.00, 1697.50, 340, 124.00, 112.00, 10.00, 2, 79.99, 2, 115.25, 85.50, 5.66, 1.13, 50.55, 1.37, 8.62, 1.51, 41, 42, 43, 412.44, 4.00
3300.00, 3600.00, 410.00, MRT_to_KB_001.37_2, 410.00, 994.13, 406, 109.00, 109.00, 10.00, 4, 62.50, 4, 102.50, 102.50, 3.31, 1.35, 28.86, 2.06, 5.49, 1.97, 78, 78, 79, 510.30, 4.00
3600.00, 3900.00, 337.00, MRT_to_KB_001.37_2, 337.00, 1086.62, 332, 101.00, 101.00, 10.00, 3, 69.98, 3, 48.14, 48.14, 3.62, 1.11, 35.16, 2.26, 4.75, 1.70, 77, 75, 78, 442.70, 9.00
3900.00, 4200.00, 593.00, MRT_to_KB_001.37_2, 547.00, 1801.75, 544, 118.00, 103.00, 10.00, 3, 69.98, 3, 98.83, 91.17, 6.01, 1.81, 46.57, 1.25, 9.07, 2.29, 60, 60, 63, 628.17, 3.00
4200.00, 4500.00, 577.00, MRT_to_KB_001.37_2, 336.00, 1405.22, 334, 121.00, 121.00, 10.00, 3, 71.56, 3, 115.40, 67.20, 4.68, 1.11, 44.24, 2.13, 5.20, 1.69, 68, 70, 71, 437.99, 3.00
4500.00, 4800.00, 0.00, MRT_to_KB_001.37_2, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 53.00, 2, 0.00, 0.00, 0.00, 0.00, 2.55, 11.29, 0.17, 0.19, 26, 27, 27, 30.72, 0.00
4800.00, 5100.00, 0.00, MRT_to_KB_001.37_2, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, -1.00, -1.00, 0.00, 0, 0, 0, 0.00, 0.00
5100.00, 5153.00, 0.00, MRT_to_KB_001.37_2, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, -1.00, -1.00, 0.00, 0, 0, 0, 0.00, 0.00
