interval_begin, interval_end, interval_haltingDurationSum, interval_id, interval_intervalHaltingDurationSum, interval_jamLengthInMetersSum, interval_jamLengthInVehiclesSum, interval_maxHaltingDuration, interval_maxIntervalHaltingDuration, interval_maxJamLengthInMeters, interval_maxJamLengthInVehicles, interval_maxOccupancy, interval_maxVehicleNumber, interval_meanHaltingDuration, interval_meanIntervalHaltingDuration, interval_meanMaxJamLengthInMeters, interval_meanMaxJamLengthInVehicles, interval_meanOccupancy, interval_meanSpeed, interval_meanTimeLoss, interval_meanVehicleNumber, interval_nVehEntered, interval_nVehLeft, interval_nVehSeen, interval_sampledSeconds, interval_startedHalts
0.00, 300.00, 276.00, MRT_to_KB_001.37_4, 276.00, 894.99, 264, 103.00, 103.00, 10.00, 3, 79.98, 3, 23.00, 23.00, 2.98, 0.88, 27.68, 0.51, 22.71, 1.05, 13, 13, 13, 306.38, 12.00
300.00, 600.00, 216.00, MRT_to_KB_001.37_4, 216.00, 723.33, 312, 81.00, 81.00, 10.00, 4, 69.97, 4, 54.00, 54.00, 2.41, 1.04, 19.03, 0.44, 23.35, 1.16, 14, 14, 14, 337.55, 6.00
600.00, 900.00, 274.00, MRT_to_KB_001.37_4, 274.00, 1179.10, 360, 89.00, 89.00, 10.00, 3, 69.05, 3, 34.25, 34.25, 3.93, 1.20, 28.52, 0.42, 21.49, 1.37, 18, 15, 18, 398.83, 9.00
900.00, 1200.00, 541.00, MRT_to_KB_001.37_4, 444.00, 1400.65, 432, 104.00, 104.00, 10.00, 3, 70.84, 3, 36.07, 29.60, 4.67, 1.44, 37.81, 0.40, 24.77, 1.66, 16, 18, 19, 485.08, 13.00
1200.00, 1500.00, 190.00, MRT_to_KB_001.37_4, 190.00, 920.48, 279, 94.00, 94.00, 10.00, 3, 69.98, 3, 31.67, 31.67, 3.07, 0.93, 25.10, 0.57, 19.00, 1.10, 15, 16, 16, 317.00, 8.00
1500.00, 1800.00, 268.00, MRT_to_KB_001.37_4, 268.00, 1273.61, 263, 114.00, 114.00, 10.00, 2, 79.99, 2, 53.60, 53.60, 4.25, 0.88, 37.23, 0.73, 15.68, 1.03, 18, 16, 18, 297.69, 5.00
1800.00, 2100.00, 489.00, MRT_to_KB_001.37_4, 449.00, 1767.09, 446, 107.00, 96.00, 10.00, 3, 74.99, 3, 97.80, 89.80, 5.89, 1.49, 42.85, 0.49, 21.04, 1.65, 20, 19, 22, 480.33, 3.00
2100.00, 2400.00, 615.00, MRT_to_KB_001.37_4, 334.00, 1072.09, 328, 122.00, 92.00, 10.00, 3, 70.10, 3, 68.33, 37.11, 3.57, 1.09, 28.71, 0.94, 10.26, 1.38, 32, 35, 35, 385.89, 6.00
2400.00, 2700.00, 324.00, MRT_to_KB_001.37_4, 324.00, 783.77, 318, 88.00, 88.00, 10.00, 4, 62.50, 4, 54.00, 54.00, 2.61, 1.06, 18.04, 0.42, 27.90, 1.19, 12, 12, 12, 345.60, 6.00
2700.00, 3000.00, 450.00, MRT_to_KB_001.37_4, 450.00, 1403.90, 440, 99.00, 99.00, 10.00, 3, 76.40, 3, 45.00, 45.00, 4.68, 1.47, 35.69, 0.56, 18.82, 1.70, 25, 22, 25, 490.21, 10.00
3000.00, 3300.00, 562.00, MRT_to_KB_001.37_4, 392.00, 1371.73, 388, 121.00, 99.00, 9.46, 3, 74.55, 3, 62.44, 43.55, 4.57, 1.29, 38.73, 0.42, 22.06, 1.48, 16, 17, 19, 432.26, 7.00
3300.00, 3600.00, 313.00, MRT_to_KB_001.37_4, 313.00, 1016.82, 308, 106.00, 106.00, 10.00, 3, 64.98, 3, 62.60, 62.60, 3.39, 1.03, 27.89, 1.10, 9.96, 1.33, 32, 34, 34, 368.49, 5.00
3600.00, 3900.00, 321.00, MRT_to_KB_001.37_4, 321.00, 1059.81, 318, 114.00, 114.00, 10.00, 3, 69.98, 3, 53.50, 53.50, 3.53, 1.06, 32.52, 1.27, 8.51, 1.42, 42, 41, 42, 392.77, 9.00
3900.00, 4200.00, 272.00, MRT_to_KB_001.37_4, 263.00, 1416.74, 258, 112.00, 103.00, 10.00, 2, 79.99, 3, 45.33, 43.83, 4.72, 0.86, 46.52, 1.12, 9.76, 1.09, 28, 27, 29, 307.59, 5.00
4200.00, 4500.00, 468.00, MRT_to_KB_001.37_4, 315.00, 1447.50, 306, 119.00, 119.00, 10.00, 2, 79.99, 3, 39.00, 26.25, 4.82, 1.02, 44.41, 1.07, 9.82, 1.38, 34, 36, 36, 383.12, 11.00
4500.00, 4800.00, 0.00, MRT_to_KB_001.37_4, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 54.60, 2, 0.00, 0.00, 0.00, 0.00, 0.91, 9.07, 0.53, 0.05, 6, 6, 6, 9.44, 0.00
4800.00, 5100.00, 0.00, MRT_to_KB_001.37_4, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, -1.00, -1.00, 0.00, 0, 0, 0, 0.00, 0.00
5100.00, 5157.00, 0.00, MRT_to_KB_001.37_4, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, -1.00, -1.00, 0.00, 0, 0, 0, 0.00, 0.00
