interval_begin, interval_end, interval_haltingDurationSum, interval_id, interval_intervalHaltingDurationSum, interval_jamLengthInMetersSum, interval_jamLengthInVehiclesSum, interval_maxHaltingDuration, interval_maxIntervalHaltingDuration, interval_maxJamLengthInMeters, interval_maxJamLengthInVehicles, interval_maxOccupancy, interval_maxVehicleNumber, interval_meanHaltingDuration, interval_meanIntervalHaltingDuration, interval_meanMaxJamLengthInMeters, interval_meanMaxJamLengthInVehicles, interval_meanOccupancy, interval_meanSpeed, interval_meanTimeLoss, interval_meanVehicleNumber, interval_nVehEntered, interval_nVehLeft, interval_nVehSeen, interval_sampledSeconds, interval_startedHalts
0.00, 300.00, 0.00, CMB_to_KBJ_001_4, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 0.00, 1, 0.00, 0.00, 0.00, 0.00, 0.00, 2.82, 0.02, 0.00, 1, 1, 1, 0.02, 0.00
300.00, 600.00, 0.00, CMB_to_KBJ_001_4, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 25.50, 1, 0.00, 0.00, 0.00, 0.00, 0.09, 3.70, 1.49, 0.01, 1, 1, 1, 2.00, 0.00
600.00, 900.00, 78.00, CMB_to_KBJ_001_4, 78.00, 128.72, 75, 44.00, 44.00, 3.93, 2, 61.38, 3, 26.00, 26.00, 0.43, 0.25, 4.20, 0.56, 16.87, 0.31, 5, 5, 5, 87.41, 3.00
900.00, 1200.00, 102.00, CMB_to_KBJ_001_4, 102.00, 57.79, 101, 102.00, 102.00, 0.57, 1, 42.00, 1, 102.00, 102.00, 0.19, 0.34, 2.26, 0.23, 26.44, 0.37, 4, 4, 4, 107.32, 1.00
1200.00, 1500.00, 25.00, CMB_to_KBJ_001_4, 25.00, 16.13, 24, 25.00, 25.00, 0.68, 1, 32.22, 2, 25.00, 25.00, 0.05, 0.08, 0.92, 0.89, 10.02, 0.11, 3, 3, 3, 31.85, 1.00
1500.00, 1800.00, 335.00, CMB_to_KBJ_001_4, 335.00, 1016.96, 331, 116.00, 116.00, 10.00, 3, 59.98, 3, 83.75, 83.75, 3.39, 1.10, 23.78, 0.20, 49.22, 1.19, 7, 6, 7, 349.13, 4.00
1800.00, 2100.00, 208.00, CMB_to_KBJ_001_4, 166.00, 254.52, 163, 123.00, 81.00, 4.13, 2, 49.36, 2, 52.00, 41.50, 0.85, 0.54, 7.48, 0.33, 19.01, 0.60, 8, 7, 9, 174.70, 3.00
2100.00, 2400.00, 313.00, CMB_to_KBJ_001_4, 265.00, 956.89, 262, 112.00, 112.00, 8.44, 3, 64.22, 3, 62.60, 53.00, 3.19, 0.87, 26.07, 0.32, 30.75, 0.97, 7, 9, 9, 282.30, 3.00
2400.00, 2700.00, 81.00, CMB_to_KBJ_001_4, 81.00, 196.51, 79, 51.00, 51.00, 6.59, 2, 45.73, 2, 40.50, 40.50, 0.66, 0.26, 5.27, 0.33, 21.34, 0.30, 4, 4, 4, 87.19, 2.00
2700.00, 3000.00, 81.00, CMB_to_KBJ_001_4, 81.00, 295.33, 78, 58.00, 58.00, 6.24, 2, 53.00, 2, 27.00, 27.00, 0.98, 0.26, 10.63, 0.43, 22.01, 0.31, 4, 3, 4, 90.31, 3.00
3000.00, 3300.00, 271.00, CMB_to_KBJ_001_4, 213.00, 480.02, 210, 119.00, 86.00, 4.12, 2, 79.98, 2, 67.75, 53.25, 1.60, 0.70, 14.91, 0.18, 44.38, 0.76, 4, 5, 5, 224.47, 3.00
3300.00, 3600.00, 295.00, CMB_to_KBJ_001_4, 295.00, 699.36, 291, 88.00, 88.00, 10.00, 4, 59.97, 4, 73.75, 73.75, 2.33, 0.97, 15.89, 0.16, 60.74, 1.04, 5, 5, 5, 306.83, 4.00
3600.00, 3900.00, 195.00, CMB_to_KBJ_001_4, 195.00, 592.97, 192, 90.00, 90.00, 10.00, 3, 69.98, 3, 65.00, 65.00, 1.98, 0.64, 16.69, 0.55, 19.00, 0.76, 11, 11, 11, 216.35, 4.00
3900.00, 4200.00, 360.00, CMB_to_KBJ_001_4, 360.00, 1181.41, 355, 100.00, 100.00, 9.43, 3, 73.00, 3, 72.00, 72.00, 3.94, 1.18, 33.07, 0.29, 34.01, 1.29, 11, 9, 11, 380.99, 5.00
4200.00, 4500.00, 307.00, CMB_to_KBJ_001_4, 193.00, 831.94, 190, 99.00, 71.00, 8.86, 2, 78.50, 3, 61.40, 38.60, 2.77, 0.63, 26.84, 0.60, 16.13, 0.76, 11, 13, 13, 217.49, 3.00
4500.00, 4800.00, 0.00, CMB_to_KBJ_001_4, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, -1.00, -1.00, 0.00, 0, 0, 0, 0.00, 0.00
4800.00, 5100.00, 0.00, CMB_to_KBJ_001_4, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, -1.00, -1.00, 0.00, 0, 0, 0, 0.00, 0.00
5100.00, 5153.00, 0.00, CMB_to_KBJ_001_4, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, -1.00, -1.00, 0.00, 0, 0, 0, 0.00, 0.00
