interval_begin, interval_end, interval_haltingDurationSum, interval_id, interval_intervalHaltingDurationSum, interval_jamLengthInMetersSum, interval_jamLengthInVehiclesSum, interval_maxHaltingDuration, interval_maxIntervalHaltingDuration, interval_maxJamLengthInMeters, interval_maxJamLengthInVehicles, interval_maxOccupancy, interval_maxVehicleNumber, interval_meanHaltingDuration, interval_meanIntervalHaltingDuration, interval_meanMaxJamLengthInMeters, interval_meanMaxJamLengthInVehicles, interval_meanOccupancy, interval_meanSpeed, interval_meanTimeLoss, interval_meanVehicleNumber, interval_nVehEntered, interval_nVehLeft, interval_nVehSeen, interval_sampledSeconds, interval_startedHalts
0.00, 300.00, 38.00, CMB_to_KBJ_001_3, 38.00, 360.00, 36, 37.00, 37.00, 10.00, 1, 100.00, 1, 19.00, 19.00, 1.20, 0.12, 13.48, 0.73, 14.18, 0.15, 3, 3, 3, 44.48, 2.00
300.00, 600.00, 19.00, CMB_to_KBJ_001_3, 19.00, 52.63, 17, 18.00, 18.00, 3.21, 1, 70.28, 2, 9.50, 9.50, 0.18, 0.06, 2.56, 1.08, 7.68, 0.09, 3, 3, 3, 24.69, 3.00
600.00, 900.00, 25.00, CMB_to_KBJ_001_3, 25.00, 206.17, 33, 25.00, 25.00, 8.39, 1, 99.43, 1, 25.00, 25.00, 0.69, 0.11, 9.02, 1.56, 6.36, 0.18, 7, 7, 7, 49.20, 3.00
900.00, 1200.00, 34.00, CMB_to_KBJ_001_3, 34.00, 459.22, 97, 18.00, 18.00, 8.31, 2, 100.00, 2, 11.33, 11.33, 1.53, 0.32, 17.86, 0.92, 11.75, 0.44, 10, 10, 10, 124.22, 5.00
1200.00, 1500.00, 70.00, CMB_to_KBJ_001_3, 70.00, 349.00, 68, 63.00, 63.00, 10.00, 2, 100.00, 2, 35.00, 35.00, 1.16, 0.23, 14.09, 1.04, 11.70, 0.31, 7, 7, 7, 87.65, 2.00
1500.00, 1800.00, 306.00, CMB_to_KBJ_001_3, 306.00, 1420.84, 302, 129.00, 129.00, 10.00, 2, 74.99, 2, 61.20, 61.20, 4.74, 1.01, 39.55, 0.47, 24.93, 1.14, 13, 11, 13, 333.80, 6.00
1800.00, 2100.00, 235.00, CMB_to_KBJ_001_3, 168.00, 837.31, 171, 118.00, 83.00, 10.00, 2, 100.00, 2, 58.75, 42.00, 2.79, 0.57, 24.00, 0.60, 15.92, 0.68, 10, 11, 12, 198.35, 5.00
2100.00, 2400.00, 216.00, CMB_to_KBJ_001_3, 213.00, 990.27, 211, 105.00, 105.00, 9.66, 2, 100.00, 2, 72.00, 71.00, 3.30, 0.70, 29.11, 0.72, 17.52, 0.83, 12, 13, 13, 237.91, 2.00
2400.00, 2700.00, 54.00, CMB_to_KBJ_001_3, 54.00, 225.52, 52, 33.00, 33.00, 8.86, 2, 68.55, 2, 27.00, 27.00, 0.75, 0.17, 7.71, 1.36, 7.28, 0.25, 9, 9, 9, 71.36, 3.00
2700.00, 3000.00, 44.00, CMB_to_KBJ_001_3, 44.00, 309.56, 40, 27.00, 27.00, 9.16, 1, 91.57, 2, 11.00, 11.00, 1.03, 0.13, 12.96, 2.05, 4.47, 0.23, 12, 11, 12, 61.10, 5.00
3000.00, 3300.00, 156.00, CMB_to_KBJ_001_3, 129.00, 916.94, 188, 89.00, 67.00, 10.00, 2, 100.00, 2, 78.00, 64.50, 3.06, 0.63, 30.62, 0.59, 16.72, 0.73, 11, 12, 12, 208.69, 4.00
3300.00, 3600.00, 222.00, CMB_to_KBJ_001_3, 222.00, 712.01, 219, 86.00, 86.00, 10.00, 3, 71.92, 3, 74.00, 74.00, 2.37, 0.73, 19.85, 0.54, 21.49, 0.85, 11, 11, 11, 244.41, 4.00
3600.00, 3900.00, 84.00, CMB_to_KBJ_001_3, 84.00, 752.66, 81, 76.00, 76.00, 10.00, 1, 100.00, 3, 28.00, 28.00, 2.51, 0.27, 28.88, 1.92, 5.07, 0.44, 20, 18, 20, 115.53, 4.00
3900.00, 4200.00, 480.00, CMB_to_KBJ_001_3, 473.00, 1448.29, 468, 107.00, 100.00, 10.00, 3, 92.65, 3, 68.57, 67.57, 4.83, 1.56, 37.14, 0.24, 30.68, 1.69, 14, 13, 16, 498.48, 7.00
4200.00, 4500.00, 477.00, CMB_to_KBJ_001_3, 279.00, 891.05, 276, 123.00, 63.00, 10.00, 3, 69.98, 3, 79.50, 46.50, 2.97, 0.92, 24.83, 0.96, 11.00, 1.17, 25, 28, 28, 327.41, 4.00
4500.00, 4800.00, 0.00, CMB_to_KBJ_001_3, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, -1.00, -1.00, 0.00, 0, 0, 0, 0.00, 0.00
4800.00, 5100.00, 0.00, CMB_to_KBJ_001_3, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, -1.00, -1.00, 0.00, 0, 0, 0, 0.00, 0.00
5100.00, 5153.00, 0.00, CMB_to_KBJ_001_3, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, -1.00, -1.00, 0.00, 0, 0, 0, 0.00, 0.00
