interval_begin, interval_end, interval_haltingDurationSum, interval_id, interval_intervalHaltingDurationSum, interval_jamLengthInMetersSum, interval_jamLengthInVehiclesSum, interval_maxHaltingDuration, interval_maxIntervalHaltingDuration, interval_maxJamLengthInMeters, interval_maxJamLengthInVehicles, interval_maxOccupancy, interval_maxVehicleNumber, interval_meanHaltingDuration, interval_meanIntervalHaltingDuration, interval_meanMaxJamLengthInMeters, interval_meanMaxJamLengthInVehicles, interval_meanOccupancy, interval_meanSpeed, interval_meanTimeLoss, interval_meanVehicleNumber, interval_nVehEntered, interval_nVehLeft, interval_nVehSeen, interval_sampledSeconds, interval_startedHalts
0.00, 300.00, 57.00, CMB_to_KBJ_001_2, 57.00, 559.01, 56, 57.00, 57.00, 10.00, 1, 100.00, 2, 57.00, 57.00, 1.86, 0.19, 21.16, 2.12, 5.98, 0.29, 11, 11, 11, 75.21, 1.00
300.00, 600.00, 44.00, CMB_to_KBJ_001_2, 44.00, 253.12, 59, 21.00, 21.00, 10.00, 2, 100.00, 3, 14.67, 14.67, 0.84, 0.20, 11.64, 2.44, 4.58, 0.35, 17, 15, 17, 91.41, 5.00
600.00, 900.00, 362.00, CMB_to_KBJ_001_2, 324.00, 801.45, 338, 131.00, 111.00, 10.00, 4, 69.97, 4, 72.40, 64.80, 2.67, 1.13, 20.10, 0.33, 27.18, 1.24, 11, 13, 13, 360.89, 5.00
900.00, 1200.00, 272.00, CMB_to_KBJ_001_2, 272.00, 1131.16, 308, 150.00, 150.00, 10.00, 3, 100.00, 3, 68.00, 68.00, 3.77, 1.03, 36.08, 0.38, 25.40, 1.17, 13, 13, 13, 338.74, 7.00
1200.00, 1500.00, 176.00, CMB_to_KBJ_001_2, 176.00, 673.57, 174, 147.00, 147.00, 10.00, 2, 100.00, 2, 88.00, 88.00, 2.25, 0.58, 23.24, 0.96, 13.31, 0.71, 14, 14, 14, 197.78, 2.00
1500.00, 1800.00, 341.00, CMB_to_KBJ_001_2, 341.00, 1808.71, 337, 145.00, 145.00, 10.00, 2, 100.00, 2, 85.25, 85.25, 6.03, 1.12, 53.21, 0.65, 17.91, 1.30, 20, 19, 20, 373.31, 5.00
1800.00, 2100.00, 362.00, CMB_to_KBJ_001_2, 308.00, 1770.31, 305, 138.00, 116.00, 10.00, 2, 100.00, 2, 72.40, 61.60, 5.90, 1.02, 58.45, 0.43, 24.86, 1.13, 12, 11, 13, 331.38, 5.00
2100.00, 2400.00, 533.00, CMB_to_KBJ_001_2, 311.00, 1458.67, 307, 139.00, 139.00, 10.00, 2, 100.00, 3, 88.83, 51.83, 4.86, 1.02, 43.35, 0.99, 12.53, 1.27, 25, 26, 27, 360.54, 4.00
2400.00, 2700.00, 191.00, CMB_to_KBJ_001_2, 191.00, 891.22, 222, 75.00, 75.00, 10.00, 3, 100.00, 3, 63.67, 63.67, 2.97, 0.74, 30.04, 0.79, 16.17, 0.89, 14, 15, 15, 255.04, 4.00
2700.00, 3000.00, 287.00, CMB_to_KBJ_001_2, 287.00, 1828.92, 310, 118.00, 118.00, 10.00, 3, 100.00, 3, 71.75, 71.75, 6.10, 1.03, 60.33, 0.64, 18.50, 1.21, 18, 15, 18, 346.64, 5.00
3000.00, 3300.00, 636.00, CMB_to_KBJ_001_2, 467.00, 1675.67, 488, 136.00, 125.00, 10.00, 3, 81.55, 3, 63.60, 46.70, 5.59, 1.63, 47.22, 0.50, 22.92, 1.88, 20, 21, 23, 543.66, 9.00
3300.00, 3600.00, 224.00, CMB_to_KBJ_001_2, 223.00, 1054.61, 221, 121.00, 121.00, 10.00, 2, 100.00, 2, 74.67, 74.33, 3.52, 0.74, 31.18, 1.38, 9.06, 0.96, 25, 27, 27, 266.49, 2.00
3600.00, 3900.00, 392.00, CMB_to_KBJ_001_2, 392.00, 1395.14, 409, 126.00, 126.00, 10.00, 3, 83.12, 3, 65.33, 65.33, 4.65, 1.36, 38.59, 0.63, 18.54, 1.62, 24, 22, 24, 464.02, 7.00
3900.00, 4200.00, 488.00, CMB_to_KBJ_001_2, 420.00, 1616.48, 415, 145.00, 102.00, 10.00, 3, 79.99, 3, 69.71, 60.00, 5.39, 1.38, 43.30, 0.45, 24.37, 1.56, 16, 15, 18, 450.69, 5.00
4200.00, 4500.00, 696.00, CMB_to_KBJ_001_2, 481.00, 1572.47, 478, 133.00, 133.00, 10.00, 3, 96.83, 3, 116.00, 80.17, 5.24, 1.59, 43.08, 0.84, 14.37, 1.92, 33, 36, 36, 544.62, 3.00
4500.00, 4800.00, 0.00, CMB_to_KBJ_001_2, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 74.75, 1, 0.00, 0.00, 0.00, 0.00, 0.39, 15.36, 0.08, 0.01, 2, 2, 2, 2.36, 0.00
4800.00, 5100.00, 0.00, CMB_to_KBJ_001_2, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, -1.00, -1.00, 0.00, 0, 0, 0, 0.00, 0.00
5100.00, 5157.00, 0.00, CMB_to_KBJ_001_2, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, -1.00, -1.00, 0.00, 0, 0, 0, 0.00, 0.00
