interval_begin, interval_end, interval_haltingDurationSum, interval_id, interval_intervalHaltingDurationSum, interval_jamLengthInMetersSum, interval_jamLengthInVehiclesSum, interval_maxHaltingDuration, interval_maxIntervalHaltingDuration, interval_maxJamLengthInMeters, interval_maxJamLengthInVehicles, interval_maxOccupancy, interval_maxVehicleNumber, interval_meanHaltingDuration, interval_meanIntervalHaltingDuration, interval_meanMaxJamLengthInMeters, interval_meanMaxJamLengthInVehicles, interval_meanOccupancy, interval_meanSpeed, interval_meanTimeLoss, interval_meanVehicleNumber, interval_nVehEntered, interval_nVehLeft, interval_nVehSeen, interval_sampledSeconds, interval_startedHalts
0.00, 300.00, 193.00, MRT_to_KB_001.37_5, 193.00, 610.56, 192, 63.00, 63.00, 9.79, 3, 67.85, 3, 27.57, 27.57, 2.04, 0.64, 17.18, 0.69, 17.64, 0.78, 12, 12, 12, 223.29, 8.00
300.00, 600.00, 264.00, MRT_to_KB_001.37_5, 264.00, 950.15, 290, 104.00, 104.00, 9.31, 2, 72.53, 3, 52.80, 52.80, 3.17, 0.97, 29.95, 0.43, 27.82, 1.08, 11, 11, 11, 316.25, 6.00
600.00, 900.00, 207.00, MRT_to_KB_001.37_5, 207.00, 1024.86, 234, 67.00, 67.00, 10.00, 4, 100.00, 4, 23.00, 23.00, 3.42, 0.78, 33.75, 0.73, 16.41, 0.97, 16, 14, 16, 277.87, 10.00
900.00, 1200.00, 543.00, MRT_to_KB_001.37_5, 525.00, 1581.90, 555, 104.00, 104.00, 10.00, 3, 69.98, 3, 54.30, 52.50, 5.27, 1.85, 40.87, 0.29, 36.56, 2.03, 14, 16, 16, 597.27, 10.00
1200.00, 1500.00, 149.00, MRT_to_KB_001.37_5, 149.00, 623.91, 144, 53.00, 53.00, 7.21, 2, 62.50, 2, 29.80, 29.80, 2.08, 0.48, 21.61, 0.64, 17.83, 0.58, 9, 9, 9, 168.33, 7.00
1500.00, 1800.00, 204.00, MRT_to_KB_001.37_5, 204.00, 1005.65, 235, 83.00, 83.00, 10.00, 3, 77.86, 3, 51.00, 51.00, 3.35, 0.78, 29.53, 0.42, 28.31, 0.90, 9, 9, 9, 262.67, 5.00
1800.00, 2100.00, 395.00, MRT_to_KB_001.37_5, 395.00, 1162.19, 390, 70.00, 70.00, 10.00, 4, 79.99, 4, 39.50, 39.50, 3.87, 1.30, 32.50, 0.43, 24.74, 1.49, 17, 13, 17, 434.53, 12.00
2100.00, 2400.00, 557.00, MRT_to_KB_001.37_5, 349.00, 1253.63, 363, 88.00, 88.00, 10.00, 4, 77.86, 4, 46.42, 29.08, 4.18, 1.21, 35.98, 0.43, 21.82, 1.40, 14, 16, 18, 405.70, 11.00
2400.00, 2700.00, 441.00, MRT_to_KB_001.37_5, 373.00, 926.32, 366, 113.00, 69.00, 10.00, 4, 69.97, 4, 49.00, 41.44, 3.09, 1.22, 24.91, 0.35, 29.68, 1.35, 11, 11, 13, 395.88, 8.00
2700.00, 3000.00, 220.00, MRT_to_KB_001.37_5, 124.00, 425.34, 120, 65.00, 55.00, 7.23, 2, 62.00, 2, 36.67, 20.67, 1.42, 0.40, 14.94, 0.88, 10.57, 0.52, 11, 11, 13, 146.28, 7.00
3000.00, 3300.00, 682.00, MRT_to_KB_001.37_5, 668.00, 2065.06, 661, 101.00, 101.00, 10.00, 3, 71.06, 3, 68.20, 66.80, 6.88, 2.20, 51.89, 0.29, 36.55, 2.42, 17, 18, 19, 709.35, 10.00
3300.00, 3600.00, 514.00, MRT_to_KB_001.37_5, 514.00, 1859.67, 574, 102.00, 102.00, 10.00, 3, 69.98, 3, 64.25, 64.25, 6.20, 1.91, 47.67, 0.35, 29.96, 2.11, 19, 17, 20, 614.66, 9.00
3600.00, 3900.00, 651.00, MRT_to_KB_001.37_5, 563.00, 2094.97, 556, 96.00, 96.00, 10.00, 3, 73.35, 3, 65.10, 56.30, 6.98, 1.85, 57.70, 0.49, 24.98, 2.13, 21, 24, 24, 621.26, 7.00
3900.00, 4200.00, 499.00, MRT_to_KB_001.37_5, 499.00, 2127.98, 490, 95.00, 95.00, 9.79, 3, 77.86, 3, 55.44, 55.44, 7.09, 1.63, 60.02, 0.40, 27.43, 1.84, 19, 16, 19, 536.95, 9.00
4200.00, 4500.00, 522.00, MRT_to_KB_001.37_5, 389.00, 1494.19, 387, 98.00, 98.00, 10.00, 3, 67.38, 3, 65.25, 48.62, 4.98, 1.29, 43.85, 0.41, 25.80, 1.46, 13, 16, 16, 426.52, 7.00
4500.00, 4800.00, 229.00, MRT_to_KB_001.37_5, 229.00, 730.48, 226, 81.00, 81.00, 10.00, 3, 69.98, 3, 76.33, 76.33, 2.43, 0.75, 19.14, 0.38, 34.37, 0.85, 7, 7, 7, 247.39, 3.00
4800.00, 5100.00, 0.00, MRT_to_KB_001.37_5, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, -1.00, -1.00, 0.00, 0, 0, 0, 0.00, 0.00
5100.00, 5153.00, 0.00, MRT_to_KB_001.37_5, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, -1.00, -1.00, 0.00, 0, 0, 0, 0.00, 0.00
