interval_begin, interval_end, interval_haltingDurationSum, interval_id, interval_intervalHaltingDurationSum, interval_jamLengthInMetersSum, interval_jamLengthInVehiclesSum, interval_maxHaltingDuration, interval_maxIntervalHaltingDuration, interval_maxJamLengthInMeters, interval_maxJamLengthInVehicles, interval_maxOccupancy, interval_maxVehicleNumber, interval_meanHaltingDuration, interval_meanIntervalHaltingDuration, interval_meanMaxJamLengthInMeters, interval_meanMaxJamLengthInVehicles, interval_meanOccupancy, interval_meanSpeed, interval_meanTimeLoss, interval_meanVehicleNumber, interval_nVehEntered, interval_nVehLeft, interval_nVehSeen, interval_sampledSeconds, interval_startedHalts
0.00, 300.00, 161.00, MRT_to_KB_001.37_5, 161.00, 656.54, 168, 60.00, 60.00, 9.87, 2, 78.64, 2, 32.20, 32.20, 2.19, 0.56, 21.44, 0.83, 14.45, 0.71, 13, 12, 13, 200.03, 6.00
300.00, 600.00, 362.00, MRT_to_KB_001.37_5, 326.00, 994.91, 319, 107.00, 107.00, 8.34, 3, 63.34, 3, 45.25, 40.75, 3.32, 1.06, 30.73, 0.39, 28.29, 1.20, 11, 12, 12, 349.71, 7.00
600.00, 900.00, 177.00, MRT_to_KB_001.37_5, 177.00, 1019.47, 230, 75.00, 75.00, 10.00, 2, 79.99, 2, 44.25, 44.25, 3.40, 0.77, 30.41, 0.60, 19.14, 0.90, 13, 13, 13, 260.04, 5.00
900.00, 1200.00, 435.00, MRT_to_KB_001.37_5, 435.00, 1359.83, 429, 106.00, 106.00, 10.00, 3, 69.98, 3, 31.07, 31.07, 4.53, 1.43, 36.94, 0.39, 29.17, 1.64, 16, 16, 16, 480.34, 17.00
1200.00, 1500.00, 101.00, MRT_to_KB_001.37_5, 101.00, 495.54, 201, 57.00, 57.00, 9.43, 3, 67.88, 3, 33.67, 33.67, 1.65, 0.67, 14.57, 0.50, 21.58, 0.77, 10, 10, 10, 223.90, 5.00
1500.00, 1800.00, 202.00, MRT_to_KB_001.37_5, 202.00, 527.81, 233, 79.00, 79.00, 9.67, 3, 66.56, 3, 40.40, 40.40, 1.76, 0.78, 16.03, 0.39, 27.96, 0.89, 9, 9, 9, 259.04, 7.00
1800.00, 2100.00, 375.00, MRT_to_KB_001.37_5, 375.00, 1188.39, 366, 68.00, 68.00, 10.00, 4, 69.93, 4, 41.67, 41.67, 3.96, 1.22, 37.04, 0.39, 26.07, 1.38, 15, 11, 15, 402.06, 9.00
2100.00, 2400.00, 597.00, MRT_to_KB_001.37_5, 419.00, 1573.49, 467, 92.00, 92.00, 10.00, 4, 79.98, 4, 66.33, 46.55, 5.24, 1.56, 46.05, 0.31, 25.88, 1.71, 15, 16, 19, 502.61, 8.00
2400.00, 2700.00, 537.00, MRT_to_KB_001.37_5, 383.00, 1278.75, 379, 152.00, 77.00, 10.00, 3, 71.36, 3, 76.71, 54.71, 4.26, 1.26, 34.80, 0.36, 30.74, 1.40, 10, 11, 13, 410.49, 5.00
2700.00, 3000.00, 183.00, MRT_to_KB_001.37_5, 69.00, 498.72, 106, 83.00, 49.00, 9.81, 2, 78.04, 2, 30.50, 11.50, 1.66, 0.35, 15.61, 0.89, 10.74, 0.44, 9, 11, 11, 126.51, 5.00
3000.00, 3300.00, 427.00, MRT_to_KB_001.37_5, 427.00, 1777.47, 518, 94.00, 94.00, 10.00, 3, 71.55, 3, 53.38, 53.38, 5.92, 1.73, 48.41, 0.38, 28.89, 1.93, 19, 18, 19, 564.12, 11.00
3300.00, 3600.00, 559.00, MRT_to_KB_001.37_5, 559.00, 1891.85, 546, 94.00, 94.00, 10.00, 3, 70.63, 3, 43.00, 43.00, 6.31, 1.82, 51.57, 0.37, 32.46, 2.04, 17, 16, 18, 600.16, 13.00
3600.00, 3900.00, 515.00, MRT_to_KB_001.37_5, 429.00, 2004.21, 502, 100.00, 100.00, 10.00, 3, 74.63, 3, 73.57, 61.28, 6.68, 1.67, 55.54, 0.61, 18.78, 1.98, 27, 29, 29, 570.53, 6.00
3900.00, 4200.00, 650.00, MRT_to_KB_001.37_5, 650.00, 2096.43, 723, 90.00, 90.00, 10.00, 4, 69.98, 4, 65.00, 65.00, 6.99, 2.41, 52.87, 0.30, 37.68, 2.62, 20, 17, 20, 770.72, 11.00
4200.00, 4500.00, 521.00, MRT_to_KB_001.37_5, 370.00, 1267.54, 356, 86.00, 86.00, 10.00, 4, 76.73, 4, 30.65, 21.76, 4.23, 1.19, 37.37, 0.40, 26.60, 1.41, 12, 15, 15, 410.92, 15.00
4500.00, 4800.00, 238.00, MRT_to_KB_001.37_5, 238.00, 774.81, 235, 82.00, 82.00, 9.97, 3, 69.63, 3, 79.33, 79.33, 2.58, 0.78, 19.64, 0.37, 35.22, 0.87, 7, 7, 7, 253.74, 3.00
4800.00, 5100.00, 0.00, MRT_to_KB_001.37_5, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, -1.00, -1.00, 0.00, 0, 0, 0, 0.00, 0.00
5100.00, 5157.00, 0.00, MRT_to_KB_001.37_5, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, -1.00, -1.00, 0.00, 0, 0, 0, 0.00, 0.00
