interval_begin, interval_end, interval_haltingDurationSum, interval_id, interval_intervalHaltingDurationSum, interval_jamLengthInMetersSum, interval_jamLengthInVehiclesSum, interval_maxHaltingDuration, interval_maxIntervalHaltingDuration, interval_maxJamLengthInMeters, interval_maxJamLengthInVehicles, interval_maxOccupancy, interval_maxVehicleNumber, interval_meanHaltingDuration, interval_meanIntervalHaltingDuration, interval_meanMaxJamLengthInMeters, interval_meanMaxJamLengthInVehicles, interval_meanOccupancy, interval_meanSpeed, interval_meanTimeLoss, interval_meanVehicleNumber, interval_nVehEntered, interval_nVehLeft, interval_nVehSeen, interval_sampledSeconds, interval_startedHalts
0.00, 300.00, 136.00, MRT_to_KB_001.37_5, 136.00, 602.03, 144, 64.00, 64.00, 9.14, 2, 71.36, 2, 34.00, 34.00, 2.01, 0.48, 18.73, 0.92, 12.77, 0.63, 13, 13, 13, 177.71, 6.00
300.00, 600.00, 415.00, MRT_to_KB_001.37_5, 415.00, 1396.81, 408, 103.00, 103.00, 10.00, 3, 67.50, 3, 59.28, 59.28, 4.66, 1.36, 34.99, 0.34, 35.90, 1.51, 12, 12, 12, 441.61, 7.00
600.00, 900.00, 279.00, MRT_to_KB_001.37_5, 279.00, 856.35, 272, 65.00, 65.00, 10.00, 3, 69.98, 3, 39.86, 39.86, 2.85, 0.91, 22.77, 0.58, 21.12, 1.07, 14, 14, 14, 308.28, 7.00
900.00, 1200.00, 521.00, MRT_to_KB_001.37_5, 521.00, 1796.34, 647, 108.00, 108.00, 10.00, 4, 69.98, 4, 74.43, 74.43, 5.99, 2.16, 45.84, 0.24, 45.20, 2.34, 15, 15, 15, 690.14, 10.00
1200.00, 1500.00, 101.00, MRT_to_KB_001.37_5, 101.00, 415.27, 99, 51.00, 51.00, 9.63, 2, 76.26, 2, 33.67, 33.67, 1.38, 0.33, 12.53, 0.77, 12.31, 0.41, 9, 9, 9, 117.20, 7.00
1500.00, 1800.00, 126.00, MRT_to_KB_001.37_5, 126.00, 265.13, 125, 80.00, 80.00, 10.00, 3, 59.98, 3, 31.50, 31.50, 0.88, 0.42, 9.65, 0.69, 17.39, 0.51, 8, 8, 8, 146.30, 5.00
1800.00, 2100.00, 468.00, MRT_to_KB_001.37_5, 468.00, 1581.69, 499, 86.00, 86.00, 10.00, 3, 69.98, 3, 58.50, 58.50, 5.27, 1.66, 40.86, 0.37, 27.79, 1.86, 19, 16, 19, 542.77, 11.00
2100.00, 2400.00, 626.00, MRT_to_KB_001.37_5, 473.00, 1396.50, 483, 87.00, 87.00, 10.00, 3, 71.00, 3, 48.15, 36.38, 4.66, 1.61, 39.05, 0.26, 34.19, 1.78, 12, 12, 15, 522.61, 13.00
2400.00, 2700.00, 529.00, MRT_to_KB_001.37_5, 395.00, 924.84, 389, 152.00, 69.00, 10.00, 4, 67.50, 4, 58.78, 43.89, 3.08, 1.30, 23.86, 0.36, 29.38, 1.45, 11, 12, 14, 422.49, 7.00
2700.00, 3000.00, 222.00, MRT_to_KB_001.37_5, 116.00, 415.95, 112, 75.00, 56.00, 8.19, 2, 67.50, 3, 27.75, 14.50, 1.39, 0.37, 14.76, 0.94, 9.28, 0.50, 12, 13, 14, 140.16, 7.00
3000.00, 3300.00, 589.00, MRT_to_KB_001.37_5, 589.00, 1933.21, 687, 109.00, 109.00, 10.00, 4, 69.98, 4, 65.44, 65.44, 6.44, 2.29, 49.83, 0.32, 34.56, 2.53, 20, 20, 21, 742.17, 14.00
3300.00, 3600.00, 535.00, MRT_to_KB_001.37_5, 535.00, 1975.76, 605, 104.00, 104.00, 10.00, 3, 78.63, 3, 53.50, 53.50, 6.59, 2.02, 51.30, 0.31, 33.42, 2.22, 18, 16, 19, 649.42, 12.00
3600.00, 3900.00, 756.00, MRT_to_KB_001.37_5, 642.00, 2064.69, 635, 96.00, 96.00, 10.00, 3, 69.98, 3, 75.60, 64.20, 6.88, 2.12, 53.47, 0.44, 26.00, 2.40, 23, 26, 26, 698.81, 8.00
3900.00, 4200.00, 424.00, MRT_to_KB_001.37_5, 424.00, 1658.99, 675, 87.00, 87.00, 10.00, 4, 69.97, 4, 53.00, 53.00, 5.53, 2.25, 40.14, 0.35, 32.04, 2.47, 22, 21, 22, 724.52, 11.00
4200.00, 4500.00, 262.00, MRT_to_KB_001.37_5, 260.00, 1048.37, 252, 97.00, 97.00, 10.00, 4, 73.15, 4, 23.82, 23.64, 3.49, 0.84, 36.77, 0.73, 16.04, 1.06, 17, 17, 18, 304.67, 12.00
4500.00, 4800.00, 257.00, MRT_to_KB_001.37_5, 248.00, 780.60, 246, 95.00, 86.00, 9.87, 3, 68.63, 3, 85.67, 82.67, 2.60, 0.82, 19.54, 0.21, 51.29, 0.89, 4, 5, 5, 260.37, 2.00
4800.00, 5100.00, 0.00, MRT_to_KB_001.37_5, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, -1.00, -1.00, 0.00, 0, 0, 0, 0.00, 0.00
5100.00, 5313.00, 0.00, MRT_to_KB_001.37_5, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, -1.00, -1.00, 0.00, 0, 0, 0, 0.00, 0.00
