interval_begin, interval_end, interval_haltingDurationSum, interval_id, interval_intervalHaltingDurationSum, interval_jamLengthInMetersSum, interval_jamLengthInVehiclesSum, interval_maxHaltingDuration, interval_maxIntervalHaltingDuration, interval_maxJamLengthInMeters, interval_maxJamLengthInVehicles, interval_maxOccupancy, interval_maxVehicleNumber, interval_meanHaltingDuration, interval_meanIntervalHaltingDuration, interval_meanMaxJamLengthInMeters, interval_meanMaxJamLengthInVehicles, interval_meanOccupancy, interval_meanSpeed, interval_meanTimeLoss, interval_meanVehicleNumber, interval_nVehEntered, interval_nVehLeft, interval_nVehSeen, interval_sampledSeconds, interval_startedHalts
0.00, 300.00, 310.00, MRT_to_KB_001.37_2, 310.00, 965.20, 307, 118.00, 118.00, 10.00, 3, 67.50, 3, 103.33, 103.33, 3.22, 1.02, 28.13, 1.66, 6.85, 1.39, 48, 47, 48, 373.90, 4.00
300.00, 600.00, 172.00, MRT_to_KB_001.37_2, 172.00, 663.14, 171, 86.00, 86.00, 7.75, 2, 70.85, 3, 86.00, 86.00, 2.21, 0.57, 24.95, 2.85, 3.55, 0.95, 52, 53, 53, 238.10, 4.00
600.00, 900.00, 335.00, MRT_to_KB_001.37_2, 335.00, 1151.82, 335, 92.00, 92.00, 10.00, 3, 69.98, 3, 67.00, 67.00, 3.84, 1.12, 35.46, 1.40, 7.92, 1.51, 47, 45, 47, 414.82, 9.00
900.00, 1200.00, 470.00, MRT_to_KB_001.37_2, 400.00, 1383.17, 396, 112.00, 112.00, 10.00, 3, 67.50, 3, 78.33, 66.67, 4.61, 1.32, 35.19, 1.05, 10.76, 1.64, 37, 38, 39, 453.38, 4.00
1200.00, 1500.00, 275.00, MRT_to_KB_001.37_2, 275.00, 901.21, 272, 94.00, 94.00, 10.00, 3, 69.98, 3, 91.67, 91.67, 3.00, 0.91, 29.37, 2.59, 4.13, 1.44, 70, 70, 71, 361.26, 3.00
1500.00, 1800.00, 395.00, MRT_to_KB_001.37_2, 395.00, 1236.89, 389, 122.00, 122.00, 10.00, 3, 69.98, 3, 65.83, 65.83, 4.12, 1.30, 35.31, 1.29, 8.63, 1.66, 47, 45, 48, 458.66, 8.00
1800.00, 2100.00, 504.00, MRT_to_KB_001.37_2, 444.00, 1752.75, 443, 107.00, 101.00, 10.00, 3, 75.95, 3, 100.80, 88.80, 5.84, 1.48, 49.57, 1.15, 9.68, 1.84, 45, 46, 48, 506.81, 4.00
2100.00, 2400.00, 426.00, MRT_to_KB_001.37_2, 231.00, 1075.65, 229, 122.00, 109.00, 10.00, 2, 100.00, 3, 85.20, 46.20, 3.59, 0.76, 40.64, 2.53, 4.07, 1.32, 65, 67, 67, 333.27, 5.00
2400.00, 2700.00, 163.00, MRT_to_KB_001.37_2, 163.00, 776.91, 161, 89.00, 89.00, 9.81, 2, 78.06, 2, 81.50, 81.50, 2.59, 0.54, 27.73, 3.43, 2.87, 0.98, 62, 61, 62, 236.62, 2.00
2700.00, 3000.00, 406.00, MRT_to_KB_001.37_2, 406.00, 1446.49, 403, 113.00, 113.00, 10.00, 3, 74.43, 3, 81.20, 81.20, 4.82, 1.34, 41.20, 1.25, 9.10, 1.71, 46, 45, 47, 471.69, 6.00
3000.00, 3300.00, 549.00, MRT_to_KB_001.37_2, 437.00, 1626.50, 434, 122.00, 108.00, 10.00, 3, 74.43, 3, 91.50, 72.83, 5.42, 1.45, 42.36, 1.24, 9.49, 1.87, 47, 48, 49, 511.24, 5.00
3300.00, 3600.00, 328.00, MRT_to_KB_001.37_2, 328.00, 1079.35, 327, 125.00, 125.00, 10.00, 3, 100.00, 3, 109.33, 109.33, 3.60, 1.09, 39.37, 2.39, 4.56, 1.71, 78, 79, 79, 436.42, 5.00
3600.00, 3900.00, 232.00, MRT_to_KB_001.37_2, 232.00, 1077.78, 228, 105.00, 105.00, 10.00, 2, 82.50, 2, 58.00, 58.00, 3.59, 0.76, 38.64, 2.82, 3.58, 1.30, 73, 71, 73, 329.70, 5.00
3900.00, 4200.00, 402.00, MRT_to_KB_001.37_2, 371.00, 1715.00, 368, 117.00, 102.00, 9.59, 2, 75.93, 2, 80.40, 74.20, 5.72, 1.23, 50.66, 1.76, 6.48, 1.67, 58, 58, 60, 445.15, 3.00
4200.00, 4500.00, 583.00, MRT_to_KB_001.37_2, 416.00, 1456.61, 412, 120.00, 120.00, 10.00, 3, 79.98, 3, 97.17, 69.33, 4.86, 1.37, 48.12, 1.87, 5.86, 2.02, 76, 78, 78, 530.26, 5.00
4500.00, 4800.00, 0.00, MRT_to_KB_001.37_2, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 53.00, 2, 0.00, 0.00, 0.00, 0.00, 2.09, 12.71, 0.08, 0.17, 26, 26, 26, 26.65, 0.00
4800.00, 5100.00, 0.00, MRT_to_KB_001.37_2, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, -1.00, -1.00, 0.00, 0, 0, 0, 0.00, 0.00
5100.00, 5157.00, 0.00, MRT_to_KB_001.37_2, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, -1.00, -1.00, 0.00, 0, 0, 0, 0.00, 0.00
