interval_begin, interval_end, interval_haltingDurationSum, interval_id, interval_intervalHaltingDurationSum, interval_jamLengthInMetersSum, interval_jamLengthInVehiclesSum, interval_maxHaltingDuration, interval_maxIntervalHaltingDuration, interval_maxJamLengthInMeters, interval_maxJamLengthInVehicles, interval_maxOccupancy, interval_maxVehicleNumber, interval_meanHaltingDuration, interval_meanIntervalHaltingDuration, interval_meanMaxJamLengthInMeters, interval_meanMaxJamLengthInVehicles, interval_meanOccupancy, interval_meanSpeed, interval_meanTimeLoss, interval_meanVehicleNumber, interval_nVehEntered, interval_nVehLeft, interval_nVehSeen, interval_sampledSeconds, interval_startedHalts
0.00, 300.00, 141.00, CMB_to_KBJ_001_1, 141.00, 1079.73, 139, 138.00, 138.00, 10.00, 2, 100.00, 2, 70.50, 70.50, 3.60, 0.46, 37.70, 0.40, 37.25, 0.52, 4, 4, 4, 152.82, 2.00
300.00, 600.00, 232.00, CMB_to_KBJ_001_1, 232.00, 1053.38, 230, 160.00, 160.00, 10.00, 2, 100.00, 2, 116.00, 116.00, 3.51, 0.77, 31.57, 0.31, 48.52, 0.84, 5, 5, 5, 247.39, 2.00
600.00, 900.00, 174.00, CMB_to_KBJ_001_1, 174.00, 597.77, 169, 88.00, 88.00, 10.00, 2, 100.00, 2, 34.80, 34.80, 1.99, 0.56, 20.88, 0.49, 26.58, 0.65, 7, 5, 7, 191.90, 5.00
900.00, 1200.00, 336.00, CMB_to_KBJ_001_1, 262.00, 2154.75, 261, 179.00, 179.00, 10.00, 2, 100.00, 2, 112.00, 87.33, 7.18, 0.87, 71.34, 0.27, 45.40, 0.94, 4, 6, 6, 277.74, 1.00
1200.00, 1500.00, 245.00, CMB_to_KBJ_001_1, 245.00, 1108.25, 243, 133.00, 133.00, 10.00, 2, 100.00, 2, 122.50, 122.50, 3.69, 0.81, 30.32, 0.39, 36.85, 0.91, 7, 7, 7, 264.53, 2.00
1500.00, 1800.00, 126.00, CMB_to_KBJ_001_1, 126.00, 528.37, 123, 65.00, 65.00, 10.00, 2, 89.99, 2, 42.00, 42.00, 1.76, 0.41, 19.12, 0.63, 19.02, 0.48, 7, 6, 7, 138.68, 4.00
1800.00, 2100.00, 438.00, CMB_to_KBJ_001_1, 373.00, 1081.43, 367, 147.00, 88.00, 10.00, 4, 68.94, 4, 62.57, 53.28, 3.60, 1.22, 27.84, 0.36, 29.44, 1.35, 12, 10, 13, 391.53, 6.00
2100.00, 2400.00, 595.00, CMB_to_KBJ_001_1, 401.00, 1766.23, 399, 182.00, 182.00, 10.00, 3, 100.00, 3, 119.00, 80.20, 5.89, 1.33, 46.88, 0.37, 32.51, 1.48, 10, 13, 13, 432.79, 2.00
2400.00, 2700.00, 339.00, CMB_to_KBJ_001_1, 339.00, 1125.32, 336, 125.00, 125.00, 10.00, 3, 93.76, 3, 113.00, 113.00, 3.75, 1.12, 29.35, 0.47, 29.80, 1.28, 12, 12, 12, 368.83, 3.00
2700.00, 3000.00, 423.00, CMB_to_KBJ_001_1, 423.00, 1264.94, 419, 124.00, 124.00, 9.85, 3, 100.00, 3, 84.60, 84.60, 4.22, 1.40, 35.13, 0.34, 36.71, 1.53, 12, 9, 12, 450.03, 6.00
3000.00, 3300.00, 658.00, CMB_to_KBJ_001_1, 373.00, 2492.77, 372, 190.00, 190.00, 10.00, 3, 100.00, 3, 164.50, 93.25, 8.31, 1.24, 80.83, 0.45, 24.83, 1.41, 13, 15, 16, 408.92, 1.00
3300.00, 3600.00, 322.00, CMB_to_KBJ_001_1, 322.00, 1338.21, 318, 150.00, 150.00, 8.35, 2, 90.42, 2, 80.50, 80.50, 4.46, 1.06, 37.64, 0.78, 15.99, 1.30, 21, 20, 22, 369.40, 5.00
3600.00, 3900.00, 484.00, CMB_to_KBJ_001_1, 444.00, 1825.27, 440, 183.00, 163.00, 8.75, 2, 83.53, 2, 80.67, 74.00, 6.08, 1.47, 50.09, 0.33, 35.51, 1.60, 11, 11, 13, 471.67, 5.00
3900.00, 4200.00, 734.00, CMB_to_KBJ_001_1, 617.00, 2168.95, 614, 167.00, 159.00, 10.00, 3, 84.61, 3, 146.80, 123.40, 7.23, 2.05, 56.33, 0.24, 48.83, 2.19, 11, 10, 13, 644.24, 3.00
4200.00, 4500.00, 892.00, CMB_to_KBJ_001_1, 478.00, 2078.62, 476, 199.00, 199.00, 10.00, 3, 84.00, 3, 178.40, 95.60, 6.93, 1.59, 58.37, 0.48, 24.17, 1.80, 18, 21, 21, 523.13, 3.00
4500.00, 4800.00, 0.00, CMB_to_KBJ_001_1, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, -1.00, -1.00, 0.00, 0, 0, 0, 0.00, 0.00
4800.00, 5100.00, 0.00, CMB_to_KBJ_001_1, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, -1.00, -1.00, 0.00, 0, 0, 0, 0.00, 0.00
5100.00, 5313.00, 0.00, CMB_to_KBJ_001_1, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, -1.00, -1.00, 0.00, 0, 0, 0, 0.00, 0.00
