interval_begin, interval_end, interval_haltingDurationSum, interval_id, interval_intervalHaltingDurationSum, interval_jamLengthInMetersSum, interval_jamLengthInVehiclesSum, interval_maxHaltingDuration, interval_maxIntervalHaltingDuration, interval_maxJamLengthInMeters, interval_maxJamLengthInVehicles, interval_maxOccupancy, interval_maxVehicleNumber, interval_meanHaltingDuration, interval_meanIntervalHaltingDuration, interval_meanMaxJamLengthInMeters, interval_meanMaxJamLengthInVehicles, interval_meanOccupancy, interval_meanSpeed, interval_meanTimeLoss, interval_meanVehicleNumber, interval_nVehEntered, interval_nVehLeft, interval_nVehSeen, interval_sampledSeconds, interval_startedHalts
0.00, 300.00, 123.00, P_to_KBJ_1, 123.00, 335.07, 120, 77.00, 77.00, 10.00, 3, 69.98, 3, 41.00, 41.00, 1.12, 0.40, 9.61, 0.34, 25.04, 0.44, 5, 2, 5, 128.25, 3.00
300.00, 600.00, 470.00, P_to_KBJ_1, 347.00, 1211.10, 345, 137.00, 110.00, 10.00, 3, 69.98, 3, 94.00, 69.40, 4.04, 1.15, 34.07, 0.25, 44.62, 1.23, 5, 8, 8, 363.78, 2.00
600.00, 900.00, 31.00, P_to_KBJ_1, 31.00, 106.45, 29, 16.00, 16.00, 7.65, 2, 56.46, 2, 15.50, 15.50, 0.35, 0.10, 4.01, 1.66, 7.31, 0.16, 5, 5, 5, 41.69, 2.00
900.00, 1200.00, 166.00, P_to_KBJ_1, 166.00, 376.00, 162, 76.00, 76.00, 10.00, 3, 69.98, 3, 41.50, 41.50, 1.25, 0.54, 11.47, 0.27, 33.94, 0.59, 5, 2, 5, 173.21, 4.00
1200.00, 1500.00, 422.00, P_to_KBJ_1, 300.00, 982.21, 299, 171.00, 97.00, 10.00, 3, 69.98, 3, 105.50, 75.00, 3.27, 1.00, 24.83, 0.31, 34.63, 1.08, 6, 8, 9, 318.90, 2.00
1500.00, 1800.00, 172.00, P_to_KBJ_1, 160.00, 417.74, 156, 56.00, 56.00, 6.49, 2, 70.92, 3, 34.40, 32.00, 1.39, 0.52, 13.08, 0.52, 21.31, 0.61, 7, 8, 8, 176.90, 4.00
1800.00, 2100.00, 306.00, P_to_KBJ_1, 306.00, 1081.15, 301, 145.00, 145.00, 7.20, 2, 62.00, 3, 38.25, 38.25, 3.60, 1.00, 36.58, 0.75, 17.73, 1.25, 19, 19, 19, 356.65, 9.00
2100.00, 2400.00, 157.00, P_to_KBJ_1, 157.00, 660.35, 153, 60.00, 60.00, 10.00, 2, 79.99, 2, 39.25, 39.25, 2.20, 0.51, 20.30, 0.78, 14.06, 0.63, 12, 10, 12, 178.80, 4.00
2400.00, 2700.00, 459.00, P_to_KBJ_1, 392.00, 1414.92, 386, 105.00, 105.00, 10.00, 3, 79.99, 3, 57.38, 49.00, 4.72, 1.29, 37.89, 0.38, 27.31, 1.44, 13, 12, 15, 421.37, 6.00
2700.00, 3000.00, 599.00, P_to_KBJ_1, 378.00, 1183.72, 370, 110.00, 108.00, 10.00, 4, 69.98, 4, 54.45, 34.36, 3.95, 1.23, 31.12, 0.47, 22.35, 1.45, 15, 14, 18, 416.91, 8.00
3000.00, 3300.00, 335.00, P_to_KBJ_1, 323.00, 986.27, 332, 125.00, 125.00, 10.00, 4, 69.98, 4, 55.83, 53.83, 3.29, 1.11, 27.94, 0.61, 15.49, 1.30, 19, 21, 23, 372.87, 5.00
3300.00, 3600.00, 680.00, P_to_KBJ_1, 651.00, 2260.20, 650, 142.00, 116.00, 10.00, 3, 69.98, 3, 85.00, 81.38, 7.53, 2.17, 55.55, 0.21, 44.97, 2.32, 13, 12, 15, 684.55, 7.00
3600.00, 3900.00, 810.00, P_to_KBJ_1, 529.00, 2312.59, 525, 161.00, 161.00, 10.00, 3, 74.99, 3, 115.71, 75.57, 7.71, 1.75, 61.44, 0.38, 29.12, 1.95, 16, 18, 19, 569.61, 5.00
3900.00, 4200.00, 635.00, P_to_KBJ_1, 635.00, 2068.43, 626, 171.00, 171.00, 10.00, 3, 69.98, 3, 70.56, 70.56, 6.89, 2.09, 53.53, 0.37, 30.16, 2.33, 21, 19, 22, 681.95, 10.00
4200.00, 4500.00, 690.00, P_to_KBJ_1, 646.00, 2227.12, 641, 162.00, 148.00, 9.61, 3, 86.07, 3, 86.25, 80.75, 7.42, 2.14, 63.73, 0.25, 39.23, 2.31, 14, 15, 17, 679.76, 5.00
4500.00, 4800.00, 863.00, P_to_KBJ_1, 746.00, 2268.60, 743, 152.00, 151.00, 10.00, 4, 86.07, 4, 107.88, 93.25, 7.56, 2.48, 60.54, 0.38, 28.09, 2.77, 26, 24, 28, 809.39, 7.00
4800.00, 5100.00, 1022.00, P_to_KBJ_1, 477.00, 1794.86, 470, 169.00, 169.00, 10.00, 4, 66.42, 4, 92.91, 43.36, 5.98, 1.57, 51.82, 0.57, 19.82, 1.87, 22, 26, 26, 538.58, 8.00
5100.00, 5153.00, 0.00, P_to_KBJ_1, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, -1.00, -1.00, 0.00, 0, 0, 0, 0.00, 0.00
