data_timestep, lane_id, lane_queueing_length, lane_queueing_length_experimental, lane_queueing_time
0.00, MRT_to_KB_001_1, 0.00, 27.61, 0.00
300.00, CMB_to_KBJ_001_1, 3.00, 3.00, 15.00
300.00, MRT_to_KB_001.37_1, 0.00, 15.14, 0.00
300.00, MRT_to_KB_001.37_5, 12.45, 12.45, 55.00
300.00, P_to_KBJ_1, 19.20, 19.20, 78.00
300.00, P_to_KBJ_2, 11.05, 16.35, 46.00
600.00, CMB_to_KBJ_001_2, 13.25, 13.25, 43.00
600.00, CMB_to_KBJ_001_3, 6.30, 6.30, 7.00
600.00, KBJ_to_CMB_001_1, 0.00, 24.95, 0.00
600.00, MRT_to_KB_001_1, 0.00, 27.61, 0.00
600.00, MRT_to_KB_001.37_2, 7.25, 7.25, 16.00
600.00, P_to_KBJ_2, 8.20, 8.20, 124.00
900.00, CMB_to_KBJ_001_1, 14.00, 14.00, 60.00
900.00, CMB_to_KBJ_001_2, 10.40, 10.40, 95.00
900.00, MRT_to_KB_001.37_1, 0.00, 15.15, 0.00
900.00, MRT_to_KB_001.37_2, 22.66, 22.66, 75.00
900.00, MRT_to_KB_001.37_3, 25.61, 25.61, 64.00
900.00, MRT_to_KB_001.37_4, 31.36, 31.36, 58.00
900.00, MRT_to_KB_001.37_5, 5.20, 5.20, 6.00
900.00, P_to_KBJ_1, 0.00, 3.57, 0.00
1200.00, KBJ_to_CMB_001_1, 0.00, 24.95, 0.00
1200.00, MRT_to_KB_001_1, 0.00, 27.61, 0.00
1200.00, MRT_to_KB_001.37_5, 18.15, 18.15, 72.00
1200.00, P_to_KBJ_1, 17.85, 17.85, 79.00
1200.00, P_to_KBJ_2, 3.55, 3.55, 12.00
1500.00, MRT_to_KB_001.37_1, 0.00, 15.14, 0.00
1500.00, MRT_to_KB_001.37_5, 8.55, 8.55, 63.00
1500.00, P_to_KBJ_1, 3.55, 3.55, 61.00
1500.00, P_to_KBJ_2, 35.26, 35.26, 76.00
1800.00, CMB_to_KBJ_001_1, 6.90, 6.90, 111.00
1800.00, CMB_to_KBJ_001_2, 22.94, 22.94, 69.00
1800.00, CMB_to_KBJ_001_3, 19.70, 19.70, 57.00
1800.00, CMB_to_KBJ_001_4, 3.55, 3.55, 42.00
1800.00, KBJ_to_CMB_001_1, 0.00, 24.96, 0.00
1800.00, MRT_to_KB_001_1, 0.00, 27.61, 0.00
1800.00, MRT_to_KB_001.37_2, 23.96, 23.96, 36.00
1800.00, MRT_to_KB_001.37_3, 24.16, 24.16, 29.00
1800.00, MRT_to_KB_001.37_4, 25.81, 25.81, 27.00
