data_timestep, lane_id, lane_queueing_length, lane_queueing_length_experimental, lane_queueing_time
0.00, MRT_to_KB_001_1, 0.00, 27.61, 0.00
300.00, CMB_to_KBJ_001_1, 6.30, 6.30, 12.00
300.00, MRT_to_KB_001.37_1, 0.00, 15.14, 0.00
300.00, MRT_to_KB_001.37_5, 8.20, 8.20, 41.00
300.00, P_to_KBJ_1, 15.20, 15.20, 80.00
300.00, P_to_KBJ_2, 18.41, 18.41, 48.00
600.00, CMB_to_KBJ_001_2, 15.20, 15.20, 42.00
600.00, CMB_to_KBJ_001_3, 5.20, 5.20, 10.00
600.00, KBJ_to_CMB_001_1, 0.00, 24.97, 0.00
600.00, MRT_to_KB_001_1, 0.00, 27.61, 0.00
600.00, MRT_to_KB_001.37_2, 5.20, 5.20, 14.00
600.00, MRT_to_KB_001.37_3, 6.30, 6.30, 11.00
600.00, P_to_KBJ_2, 20.90, 20.90, 120.00
900.00, CMB_to_KBJ_001_1, 18.70, 18.70, 58.00
900.00, CMB_to_KBJ_001_2, 6.55, 6.55, 96.00
900.00, CMB_to_KBJ_001_3, 5.20, 5.20, 42.00
900.00, MRT_to_KB_001.37_1, 0.00, 15.15, 0.00
900.00, MRT_to_KB_001.37_2, 36.16, 32.61, 74.00
900.00, MRT_to_KB_001.37_3, 35.56, 35.56, 70.00
900.00, MRT_to_KB_001.37_4, 39.66, 33.46, 64.00
900.00, MRT_to_KB_001.37_5, 6.30, 6.30, 5.00
900.00, P_to_KBJ_1, 3.00, 3.00, 1.00
1200.00, KBJ_to_CMB_001_1, 0.00, 24.96, 0.00
1200.00, MRT_to_KB_001_1, 0.00, 27.61, 0.00
1200.00, MRT_to_KB_001.37_5, 8.20, 26.94, 71.00
1200.00, MRT_to_KB_003_2, 0.00, 32.07, 0.00
1200.00, P_to_KBJ_1, 16.85, 16.85, 78.00
1200.00, P_to_KBJ_2, 12.50, 12.50, 13.00
1500.00, MRT_to_KB_001.37_1, 0.00, 15.14, 0.00
1500.00, MRT_to_KB_001.37_5, 6.00, 6.00, 65.00
1500.00, P_to_KBJ_1, 9.30, 9.30, 62.00
1500.00, P_to_KBJ_2, 30.51, 30.51, 76.00
1800.00, :J37_0_1, 11.51, 11.51, 17.00
1800.00, CMB_to_KBJ_001_1, 11.75, 11.75, 112.00
1800.00, CMB_to_KBJ_001_2, 30.26, 20.50, 69.00
1800.00, CMB_to_KBJ_001_3, 7.10, 7.10, 65.00
1800.00, CMB_to_KBJ_001_4, 8.75, 8.75, 57.00
1800.00, KBJ_to_CMB_001_1, 0.00, 24.99, 0.00
1800.00, MRT_to_KB_001_1, 0.00, 27.61, 0.00
1800.00, MRT_to_KB_001.37_2, 28.71, 28.71, 29.00
1800.00, MRT_to_KB_001.37_3, 30.17, 30.17, 28.00
1800.00, MRT_to_KB_001.37_4, 27.71, 27.71, 27.00
1800.00, P_to_KBJ_2, 61.87, 61.87, 148.00
