data_timestep, lane_id, lane_queueing_length, lane_queueing_length_experimental, lane_queueing_time,random_seed,scenario
3000.0, CMB_to_KBJ_001_2,3.0,3.0,41.0,64607,static_vehicle_data
3000.0, CMB_to_KBJ_001_3,6.3,6.3,38.0,64607,static_vehicle_data
3000.0, KBJ_to_CMB_001_1,0.0,24.95,0.0,64607,static_vehicle_data
3000.0, MRT_to_KB_001_1,0.0,27.56,0.0,64607,static_vehicle_data
3000.0, MRT_to_KB_001.37_2,16.55,16.55,17.0,64607,static_vehicle_data
3000.0, MRT_to_KB_001.37_3,20.1,25.82,17.0,64607,static_vehicle_data
3000.0, MRT_to_KB_001.37_4,17.75,17.75,16.0,64607,static_vehicle_data
3000.0, P_to_KBJ_2,63.15,82.44,129.0,64607,static_vehicle_data
3300.0, :J37_0_1,7.11,7.11,2.0,64607,static_vehicle_data
3300.0, CMB_to_KBJ_001_1,27.61,21.31,138.0,64607,static_vehicle_data
3300.0, CMB_to_KBJ_001_2,28.76,22.9,107.0,64607,static_vehicle_data
3300.0, CMB_to_KBJ_001_3,16.45,16.45,107.0,64607,static_vehicle_data
3300.0, CMB_to_KBJ_001_4,7.7,7.7,84.0,64607,static_vehicle_data
3300.0, MRT_to_KB_001.37_1,0.0,15.15,0.0,64607,static_vehicle_data
3300.0, MRT_to_KB_001.37_2,34.16,34.16,71.0,64607,static_vehicle_data
3300.0, MRT_to_KB_001.37_3,31.46,31.46,77.0,64607,static_vehicle_data
3300.0, MRT_to_KB_001.37_4,32.46,32.46,72.0,64607,static_vehicle_data
3300.0, MRT_to_KB_001.37_5,12.95,12.95,8.0,64607,static_vehicle_data
3300.0, P_to_KBJ_1,7.25,7.25,15.0,64607,static_vehicle_data
3300.0, P_to_KBJ_2,114.27,102.87,70.0,64607,static_vehicle_data
3600.0, :KB_to_MRT_001_0_1,2.31,2.31,2.0,64607,static_vehicle_data
3600.0, :KB_to_MRT_001_0_2,15.91,13.41,39.0,64607,static_vehicle_data
3600.0, CMB_to_KBJ_002_2,0.0,13.94,0.0,64607,static_vehicle_data
3600.0, KBJ_to_CMB_001_1,0.0,24.95,0.0,64607,static_vehicle_data
3600.0, KBJ_to_P_1,115.34,0.0,2.0,64607,static_vehicle_data
3600.0, MRT_to_KB_001_1,0.0,27.56,0.0,64607,static_vehicle_data
3600.0, MRT_to_KB_001_2,27.47,21.62,42.0,64607,static_vehicle_data
3600.0, MRT_to_KB_001_3,27.17,21.47,51.0,64607,static_vehicle_data
3600.0, MRT_to_KB_001.37_5,29.06,29.06,62.0,64607,static_vehicle_data
3600.0, P_to_KBJ_1,30.21,30.21,67.0,64607,static_vehicle_data
3600.0, P_to_KBJ_2,22.9,24.12,12.0,64607,static_vehicle_data
3900.0, CMB_to_KBJ_001_1,6.9,6.9,32.0,64607,static_vehicle_data
3900.0, KBJ_to_CMB_002_1,0.0,33.25,0.0,64607,static_vehicle_data
3900.0, MRT_to_KB_001.37_1,0.0,15.15,0.0,64607,static_vehicle_data
3900.0, MRT_to_KB_001.37_5,30.66,30.66,136.0,64607,static_vehicle_data
3900.0, P_to_KBJ_1,31.56,31.56,120.0,64607,static_vehicle_data
3900.0, P_to_KBJ_2,87.47,87.47,75.0,64607,static_vehicle_data
4200.0, CMB_to_KBJ_001_1,10.9,10.9,71.0,64607,static_vehicle_data
4200.0, CMB_to_KBJ_001_2,22.65,22.65,56.0,64607,static_vehicle_data
4200.0, CMB_to_KBJ_001_3,13.25,13.25,51.0,64607,static_vehicle_data
4200.0, CMB_to_KBJ_001_4,10.9,10.9,45.0,64607,static_vehicle_data
4200.0, KBJ_to_CMB_001_1,0.0,24.97,0.0,64607,static_vehicle_data
4200.0, MRT_to_KB_001_1,0.0,27.56,0.0,64607,static_vehicle_data
4200.0, MRT_to_KB_001.37_2,17.06,17.06,23.0,64607,static_vehicle_data
4200.0, MRT_to_KB_001.37_3,19.85,19.85,24.0,64607,static_vehicle_data
4200.0, MRT_to_KB_001.37_4,17.75,22.36,18.0,64607,static_vehicle_data
4200.0, P_to_KBJ_2,130.23,100.12,137.0,64607,static_vehicle_data
4500.0, :J1_0_1,8.34,8.34,14.0,64607,static_vehicle_data
4500.0, :J1_0_2,22.19,15.49,24.0,64607,static_vehicle_data
4500.0, :J37_0_1,6.77,6.77,23.0,64607,static_vehicle_data
4500.0, CMB_to_KBJ_001_1,31.56,19.56,134.0,64607,static_vehicle_data
4500.0, CMB_to_KBJ_001_2,26.51,24.01,115.0,64607,static_vehicle_data
