tripinfo_arrival, tripinfo_arrivalLane, tripinfo_arrivalPos, tripinfo_arrivalPosLat, tripinfo_arrivalSpeed, tripinfo_depart, tripinfo_departDelay, tripinfo_departLane, tripinfo_departPos, tripinfo_departPosLat, tripinfo_departSpeed, tripinfo_devices, tripinfo_duration, tripinfo_id, tripinfo_rerouteNo, tripinfo_routeLength, tripinfo_speedFactor, tripinfo_stopTime, tripinfo_timeLoss, tripinfo_vType, tripinfo_vaporized, tripinfo_waitingCount, tripinfo_waitingTime
117.00, KB_to_MRT_002_1, 130.27, 0.00, 14.26, 0.00, 0.00, CMB_to_KBJ_003_1, 12.10, 0.00, 0.00, tripinfo_bus_100/101/400/412/418/428/430/433:1.0, 117.00, bus_100/101/400/412/418/428/430/433:1.0, 0, 435.77, 1.00, 58.00, 32.04, bus, , 1, 1.00
126.00, KBJ_to_CMB_002_1, 146.55, -0.00, 16.00, 96.00, 0.92, MRT_to_KB_003_1, 2.65, 0.00, 0.00, tripinfo_0_37, 30.00, 0_37, 0, 398.80, 1.24, 0.00, 5.68, 3_Wheeler, , 0, 0.00
130.00, KBJ_to_P_2, 128.65, 0.00, 16.23, 8.00, 0.71, MRT_to_KB_001_4, 2.10, 0.00, 0.00, tripinfo_0_2, 122.00, 0_2, 0, 249.81, 1.19, 0.00, 106.63, Motor_Cycle, , 1, 94.00
132.00, KB_to_MRT_002_2, 130.27, -0.45, 16.05, 52.00, 0.04, P_to_KBJ_1, 4.30, 0.00, 0.00, tripinfo_0_24, 80.00, 0_24, 0, 335.94, 0.99, 0.00, 56.68, Car, , 1, 46.00
134.00, KBJ_to_P_2, 128.65, -0.57, 13.46, 47.00, 0.07, MRT_to_KB_003_3, 6.35, 0.00, 0.00, tripinfo_0_21, 87.00, 0_21, 0, 296.13, 0.97, 0.00, 63.97, Goods_Vehicle, , 1, 52.00
134.00, KBJ_to_P_2, 128.65, 1.10, 13.56, 89.00, 0.67, MRT_to_KB_001_4, 2.10, 0.00, 0.00, tripinfo_0_36, 45.00, 0_36, 0, 249.81, 1.09, 0.00, 28.26, Motor_Cycle, , 1, 16.00
137.00, KBJ_to_P_2, 128.65, 0.50, 15.14, 113.00, 0.62, MRT_to_KB_001.37_5, 5.40, 0.00, 0.00, tripinfo_0_44, 24.00, 0_44, 0, 197.72, 1.10, 0.00, 10.32, Van, , 0, 0.00
140.00, KBJ_to_P_2, 128.65, 0.25, 14.84, 112.00, 0.95, MRT_to_KB_003_3, 2.65, 0.00, 0.00, tripinfo_0_43, 28.00, 0_43, 0, 299.83, 1.11, 0.00, 7.77, 3_Wheeler, , 0, 0.00
171.00, KBJ_to_P_2, 128.65, 0.50, 13.67, 151.00, 0.55, MRT_to_KB_001.37_5, 4.30, 0.00, 0.00, tripinfo_0_61, 20.00, 0_61, 0, 198.82, 1.00, 0.00, 5.04, Car, , 0, 0.00
183.00, KBJ_to_CMB_002_1, 146.55, 0.00, 6.15, 0.00, 0.00, MRT_to_KB_001_1, 12.10, 0.00, 0.00, tripinfo_bus_100/101/400/412/418/428/430/433:0.0, 183.00, bus_100/101/400/412/418/428/430/433:0.0, 0, 338.78, 1.00, 117.00, 44.32, bus, , 1, 1.00
196.00, KBJ_to_CMB_002_3, 146.55, 0.00, 17.37, 49.00, 0.12, P_to_KBJ_2, 2.10, 0.00, 0.00, tripinfo_0_22, 147.00, 0_22, 0, 391.01, 1.13, 0.00, 123.33, Motor_Cycle, , 1, 114.00
200.00, KBJ_to_CMB_002_3, 146.55, -0.60, 16.40, 132.00, 0.31, P_to_KBJ_2, 5.40, 0.00, 0.00, tripinfo_0_54, 68.00, 0_54, 0, 387.71, 0.99, 0.00, 41.61, Van, , 1, 31.00
203.00, KBJ_to_CMB_002_3, 146.55, -1.20, 15.27, 167.00, 0.69, P_to_KBJ_2, 2.10, 0.00, 0.00, tripinfo_0_73, 36.00, 0_73, 0, 391.01, 0.94, 0.00, 7.73, Motor_Cycle, , 0, 0.00
204.00, KBJ_to_CMB_002_3, 146.55, 0.30, 15.70, 173.00, 0.36, P_to_KBJ_2, 2.65, 0.00, 0.00, tripinfo_0_76, 31.00, 0_76, 0, 390.46, 1.08, 0.00, 6.09, 3_Wheeler, , 0, 0.00
221.00, KBJ_to_CMB_002_3, 146.55, -0.47, 13.81, 188.00, 0.24, P_to_KBJ_2, 6.35, 0.00, 0.00, tripinfo_0_85, 33.00, 0_85, 0, 386.76, 1.06, 0.00, 4.54, Goods_Vehicle, , 0, 0.00
233.00, KBJ_to_CMB_001_4, 57.78, 0.00, 15.51, 211.00, 0.41, P_to_KBJ_2, 2.65, 0.00, 0.00, tripinfo_0_98, 22.00, 0_98, 0, 225.30, 0.93, 0.00, 4.71, 3_Wheeler, , 0, 0.00
253.00, KBJ_to_CMB_001_4, 57.78, 0.10, 14.73, 113.00, 0.33, MRT_to_KB_003_2, 2.65, 0.00, 0.00, tripinfo_0_45, 140.00, 0_45, 0, 233.64, 0.91, 0.00, 121.91, 3_Wheeler, , 1, 110.00
256.00, KBJ_to_CMB_001_4, 57.78, -0.60, 17.88, 143.00, 0.75, MRT_to_KB_001.37_2, 4.30, 0.00, 0.00, tripinfo_0_58, 113.00, 0_58, 0, 132.63, 1.12, 0.00, 104.72, Car, , 2, 90.00
256.00, KBJ_to_CMB_001_2, 57.78, -0.00, 10.16, 151.00, 0.21, MRT_to_KB_001.37_2, 2.65, 0.00, 0.00, tripinfo_0_62, 105.00, 0_62, 0, 134.28, 1.01, 0.00, 96.26, 3_Wheeler, , 1, 82.00
256.00, KB_to_MRT_002_3, 130.27, 1.25, 15.49, 194.00, 0.36, CMB_to_KBJ_002_2, 2.10, 0.00, 0.00, tripinfo_0_91, 62.00, 0_91, 0, 295.16, 0.97, 0.00, 43.74, Motor_Cycle, , 1, 25.00
257.00, KB_to_MRT_002_2, 130.27, 0.00, 16.08, 102.00, 0.60, CMB_to_KBJ_001_3, 2.65, 0.00, 0.00, tripinfo_0_39, 155.00, 0_39, 0, 251.49, 0.99, 0.00, 139.76, 3_Wheeler, , 1, 129.00
257.00, KBJ_to_CMB_002_3, 146.55, -0.60, 18.12, 107.00, 0.21, MRT_to_KB_001.37_4, 4.30, 0.00, 0.00, tripinfo_0_40, 150.00, 0_40, 0, 297.79, 1.10, 0.00, 132.98, Car, , 1, 122.00
258.00, KB_to_MRT_002_3, 130.27, -0.75, 14.40, 155.00, 0.11, CMB_to_KBJ_001_4, 2.10, 0.00, 0.00, tripinfo_0_65, 103.00, 0_65, 0, 252.04, 0.89, 0.00, 85.33, Motor_Cycle, , 1, 75.00
259.00, KBJ_to_CMB_002_1, 146.55, 1.70, 14.97, 109.00, 0.94, MRT_to_KB_001.37_3, 4.30, 0.00, 0.00, tripinfo_0_42, 150.00, 0_42, 0, 297.79, 0.90, 0.00, 129.49, Car, , 1, 121.00
259.00, KBJ_to_CMB_002_1, 146.55, -1.30, 15.83, 121.00, 1.45, MRT_to_KB_001_2, 2.10, 0.00, 0.00, tripinfo_0_49, 138.00, 0_49, 0, 348.78, 0.99, 0.00, 115.39, Motor_Cycle, , 1, 104.00
259.00, KBJ_to_CMB_001_4, 57.78, 0.20, 14.09, 164.00, 1.81, MRT_to_KB_001.37_4, 2.10, 0.00, 0.00, tripinfo_0_69, 95.00, 0_69, 0, 134.83, 0.90, 0.00, 85.03, Motor_Cycle, , 1, 75.00
261.00, KBJ_to_CMB_002_3, 146.55, -0.40, 16.34, 108.00, 0.15, MRT_to_KB_003_1, 2.65, 0.00, 0.00, tripinfo_0_41, 153.00, 0_41, 0, 398.80, 1.12, 0.00, 128.49, 3_Wheeler, , 1, 115.00
261.00, KBJ_to_CMB_002_2, 146.55, 0.65, 14.74, 116.00, 0.47, MRT_to_KB_001.37_2, 2.10, 0.00, 0.00, tripinfo_0_46, 145.00, 0_46, 0, 299.99, 0.95, 0.00, 124.63, Motor_Cycle, , 1, 115.00
261.00, KBJ_to_CMB_001_4, 57.78, 0.60, 13.75, 164.00, 1.21, MRT_to_KB_001.37_3, 5.40, 0.00, 0.00, tripinfo_0_70, 97.00, 0_70, 0, 131.53, 0.83, 0.00, 86.48, Van, , 2, 75.00
262.00, KBJ_to_CMB_002_1, 146.55, -0.00, 14.31, 117.00, 0.55, MRT_to_KB_001_2, 2.65, 0.00, 0.00, tripinfo_0_48, 145.00, 0_48, 0, 348.23, 0.91, 0.00, 120.68, 3_Wheeler, , 1, 109.00
262.00, KBJ_to_CMB_002_2, 146.55, -0.45, 17.29, 129.00, 0.54, MRT_to_KB_001_2, 4.30, 0.00, 0.00, tripinfo_0_52, 133.00, 0_52, 0, 346.58, 1.06, 0.00, 112.09, Car, , 1, 100.00
264.00, KBJ_to_CMB_002_2, 146.55, 1.05, 16.10, 126.00, 0.12, MRT_to_KB_003_1, 2.10, 0.00, 0.00, tripinfo_0_51, 138.00, 0_51, 0, 399.35, 1.02, 0.00, 112.33, Motor_Cycle, , 1, 99.00
264.00, KBJ_to_CMB_002_1, 146.55, 1.50, 16.12, 138.00, 0.52, MRT_to_KB_001.37_2, 2.10, 0.00, 0.00, tripinfo_0_55, 126.00, 0_55, 0, 299.99, 1.02, 0.00, 107.72, Motor_Cycle, , 1, 97.00
264.00, KBJ_to_CMB_001_3, 57.78, -0.45, 15.01, 176.00, 0.27, MRT_to_KB_003_2, 4.30, 0.00, 0.00, tripinfo_0_79, 88.00, 0_79, 0, 231.99, 0.93, 0.00, 70.58, Car, , 1, 58.00
264.00, KBJ_to_P_2, 128.65, 0.50, 13.26, 239.00, 0.26, CMB_to_KBJ_001_1, 5.40, 0.00, 0.00, tripinfo_0_110, 25.00, 0_110, 0, 169.74, 0.98, 0.00, 11.49, Van, , 0, 0.00
265.00, KBJ_to_CMB_002_3, 146.55, 0.10, 16.65, 116.00, 0.17, MRT_to_KB_003_1, 2.65, 0.00, 0.00, tripinfo_0_47, 149.00, 0_47, 0, 398.80, 1.14, 0.00, 123.87, 3_Wheeler, , 1, 109.00
266.00, 30093400_1, 127.33, 0.00, 7.76, 76.00, 0.93, CMB_to_KBJ_003_2, 2.10, 0.00, 0.00, tripinfo_0_30, 190.00, 0_30, 0, 437.99, 1.02, 0.00, 155.07, Motor_Cycle, , 1, 142.00
266.00, KBJ_to_CMB_002_2, 146.55, 0.15, 16.35, 140.00, 0.32, MRT_to_KB_003_1, 2.10, 0.00, 0.00, tripinfo_0_56, 126.00, 0_56, 0, 399.35, 1.02, 0.00, 99.85, Motor_Cycle, , 1, 86.00
267.00, 30093400_1, 127.33, 0.05, 8.67, 82.00, 0.75, CMB_to_KBJ_003_2, 2.65, 0.00, 0.00, tripinfo_0_31, 185.00, 0_31, 0, 437.44, 1.10, 0.00, 151.55, 3_Wheeler, , 1, 136.00
267.00, KBJ_to_CMB_002_2, 146.55, -0.45, 17.73, 143.00, 0.96, MRT_to_KB_003_2, 4.30, 0.00, 0.00, tripinfo_0_57, 124.00, 0_57, 0, 397.15, 1.15, 0.00, 101.35, Car, , 1, 86.00
268.00, KBJ_to_CMB_002_1, 146.55, -0.70, 13.16, 148.00, 0.52, MRT_to_KB_001.37_2, 4.30, 0.00, 0.00, tripinfo_0_59, 120.00, 0_59, 0, 297.79, 0.79, 0.00, 96.06, Car, , 1, 86.00
268.00, KBJ_to_CMB_002_3, 146.55, 0.10, 15.54, 148.00, 0.24, MRT_to_KB_001.37_4, 2.65, 0.00, 0.00, tripinfo_0_60, 120.00, 0_60, 0, 299.44, 0.94, 0.00, 100.17, 3_Wheeler, , 1, 88.00
268.00, KBJ_to_CMB_001_3, 57.78, -0.45, 14.94, 185.00, 0.24, MRT_to_KB_003_2, 5.40, 0.00, 0.00, tripinfo_0_83, 83.00, 0_83, 0, 230.89, 0.91, 0.00, 65.55, Van, , 1, 50.00
269.00, KBJ_to_CMB_002_1, 146.55, 0.30, 15.58, 151.00, 0.06, MRT_to_KB_001_2, 2.10, 0.00, 0.00, tripinfo_0_63, 118.00, 0_63, 0, 348.78, 0.98, 0.00, 94.57, Motor_Cycle, , 1, 78.00
269.00, KBJ_to_CMB_002_2, 146.55, 0.45, 18.80, 156.00, 0.50, MRT_to_KB_001_3, 4.30, 0.00, 0.00, tripinfo_0_66, 113.00, 0_66, 0, 346.58, 1.18, 0.00, 93.41, Car, , 1, 77.00
270.00, KBJ_to_CMB_002_1, 146.55, 1.20, 16.64, 168.00, 0.96, MRT_to_KB_001_2, 2.10, 0.00, 0.00, tripinfo_0_74, 102.00, 0_74, 0, 348.78, 1.01, 0.00, 79.63, Motor_Cycle, , 1, 67.00
270.00, KBJ_to_CMB_001_3, 57.78, 0.25, 15.90, 195.00, 0.01, MRT_to_KB_003_2, 2.65, 0.00, 0.00, tripinfo_0_92, 75.00, 0_92, 0, 233.64, 1.00, 0.00, 58.64, 3_Wheeler, , 1, 44.00
271.00, KBJ_to_CMB_001_2, 57.78, 0.50, 6.78, 154.00, 0.60, MRT_to_KB_003_1, 4.30, 0.00, 0.00, tripinfo_0_64, 117.00, 0_64, 0, 231.99, 1.14, 0.00, 103.13, Car, , 1, 75.00
272.00, KB_to_MRT_002_2, 130.27, -0.45, 18.09, 239.00, 0.44, CMB_to_KBJ_003_2, 4.30, 0.00, 0.00, tripinfo_0_109, 33.00, 0_109, 0, 443.57, 1.09, 0.00, 8.55, Car, , 0, 0.00
273.00, KBJ_to_CMB_002_2, 146.55, -0.45, 13.05, 165.00, 0.23, MRT_to_KB_003_2, 4.30, 0.00, 0.00, tripinfo_0_72, 108.00, 0_72, 0, 397.15, 0.82, 0.00, 76.77, Car, , 1, 65.00
274.00, KBJ_to_CMB_002_3, 146.55, -0.80, 14.87, 160.00, 0.59, MRT_to_KB_001_3, 2.10, 0.00, 0.00, tripinfo_0_68, 114.00, 0_68, 0, 348.78, 0.95, 0.00, 89.88, Motor_Cycle, , 2, 72.00
275.00, 30093400_1, 127.33, -0.85, 6.96, 123.00, 0.31, CMB_to_KBJ_002_2, 2.65, 0.00, 0.00, tripinfo_0_50, 152.00, 0_50, 0, 286.83, 0.92, 0.00, 124.05, 3_Wheeler, , 1, 105.00
275.00, KBJ_to_CMB_002_2, 146.55, -0.45, 16.39, 173.00, 1.98, MRT_to_KB_001_3, 4.30, 0.00, 0.00, tripinfo_0_75, 102.00, 0_75, 0, 346.58, 1.25, 0.00, 83.91, Car, , 1, 63.00
275.00, KBJ_to_CMB_002_3, 146.55, 0.20, 17.34, 180.00, 2.75, MRT_to_KB_001.37_4, 2.10, 0.00, 0.00, tripinfo_0_80, 95.00, 0_80, 0, 299.99, 1.07, 0.00, 76.93, Motor_Cycle, , 1, 62.00
275.00, KBJ_to_CMB_001_4, 57.78, 0.10, 14.53, 260.00, 48.90, MRT_to_KB_001.37_4, 2.65, 0.00, 0.00, tripinfo_0_100, 15.00, 0_100, 0, 134.28, 0.91, 0.00, 4.58, 3_Wheeler, , 0, 0.00
276.00, KBJ_to_CMB_001_2, 57.78, -0.70, 9.50, 174.00, 0.52, MRT_to_KB_003_1, 4.30, 0.00, 0.00, tripinfo_0_78, 102.00, 0_78, 0, 231.99, 0.95, 0.00, 85.35, Car, , 1, 60.00
276.00, KBJ_to_CMB_002_1, 146.55, 1.50, 15.49, 184.00, 0.48, MRT_to_KB_003_1, 2.10, 0.00, 0.00, tripinfo_0_81, 92.00, 0_81, 0, 399.35, 0.99, 0.00, 65.81, Motor_Cycle, , 1, 50.00
276.00, KBJ_to_CMB_002_2, 146.55, 1.00, 14.96, 187.00, 0.13, MRT_to_KB_001_3, 2.10, 0.00, 0.00, tripinfo_0_84, 89.00, 0_84, 0, 348.78, 0.97, 0.00, 66.08, Motor_Cycle, , 1, 53.00
276.00, KBJ_to_CMB_001_3, 57.78, -0.95, 9.40, 191.00, 0.47, MRT_to_KB_003_1, 2.10, 0.00, 0.00, tripinfo_0_87, 85.00, 0_87, 0, 234.19, 1.09, 0.00, 70.12, Motor_Cycle, , 1, 46.00
276.00, 30093400_1, 127.33, 1.25, 6.91, 193.00, 0.01, CMB_to_KBJ_003_2, 2.10, 0.00, 0.00, tripinfo_0_90, 83.00, 0_90, 0, 437.99, 0.93, 0.00, 45.06, Motor_Cycle, , 1, 27.00
277.00, 30093400_1, 127.33, -0.55, 9.13, 131.00, 0.84, CMB_to_KBJ_001_2, 4.30, 0.00, 0.00, tripinfo_0_53, 146.00, 0_53, 0, 242.06, 1.15, 0.00, 125.36, Car, , 1, 104.00
277.00, KBJ_to_CMB_002_3, 146.55, -0.20, 14.52, 193.00, 0.27, MRT_to_KB_001.37_4, 2.10, 0.00, 0.00, tripinfo_0_89, 84.00, 0_89, 0, 299.99, 0.94, 0.00, 63.29, Motor_Cycle, , 1, 54.00
278.00, KBJ_to_CMB_001_3, 57.78, 0.15, 10.26, 240.00, 0.51, MRT_to_KB_003_1, 2.10, 0.00, 0.00, tripinfo_0_111, 38.00, 0_111, 0, 234.19, 0.91, 0.00, 20.57, Motor_Cycle, , 1, 2.00
279.00, 30093400_1, 127.33, -0.05, 9.54, 210.00, 0.90, CMB_to_KBJ_003_2, 2.65, 0.00, 0.00, tripinfo_0_97, 69.00, 0_97, 0, 437.44, 1.16, 0.00, 35.55, 3_Wheeler, , 1, 11.00
279.00, KBJ_to_CMB_001_4, 57.78, -0.60, 16.50, 266.00, 15.21, MRT_to_KB_001.37_4, 4.30, 0.00, 0.00, tripinfo_0_115, 13.00, 0_115, 0, 132.63, 1.01, 0.00, 3.65, Car, , 0, 0.00
280.00, KBJ_to_CMB_002_3, 146.55, -0.47, 13.85, 254.00, 55.94, MRT_to_KB_001.37_4, 6.35, 0.00, 0.00, tripinfo_0_94, 26.00, 0_94, 0, 295.74, 1.00, 0.00, 4.54, Goods_Vehicle, , 0, 0.00
280.00, KBJ_to_CMB_001_3, 57.78, 0.32, 10.13, 223.00, 0.77, MRT_to_KB_003_1, 6.35, 0.00, 0.00, tripinfo_0_105, 57.00, 0_105, 0, 229.94, 0.95, 0.00, 39.78, Goods_Vehicle, , 1, 18.00
280.00, KBJ_to_CMB_001_2, 57.78, 1.10, 12.48, 264.00, 33.00, MRT_to_KB_001.37_2, 2.10, 0.00, 0.00, tripinfo_0_107, 16.00, 0_107, 0, 134.83, 1.01, 0.00, 6.78, Motor_Cycle, , 0, 0.00
