interval_begin, interval_end, interval_haltingDurationSum, interval_id, interval_intervalHaltingDurationSum, interval_jamLengthInMetersSum, interval_jamLengthInVehiclesSum, interval_maxHaltingDuration, interval_maxIntervalHaltingDuration, interval_maxJamLengthInMeters, interval_maxJamLengthInVehicles, interval_maxOccupancy, interval_maxVehicleNumber, interval_meanHaltingDuration, interval_meanIntervalHaltingDuration, interval_meanMaxJamLengthInMeters, interval_meanMaxJamLengthInVehicles, interval_meanOccupancy, interval_meanSpeed, interval_meanTimeLoss, interval_meanVehicleNumber, interval_nVehEntered, interval_nVehLeft, interval_nVehSeen, interval_sampledSeconds, interval_startedHalts
0.00, 300.00, 282.00, MRT_to_KB_001.37_3, 282.00, 896.16, 279, 99.00, 99.00, 9.58, 3, 65.75, 3, 94.00, 94.00, 2.99, 0.93, 25.50, 1.18, 9.45, 1.19, 32, 32, 32, 331.40, 4.00
300.00, 600.00, 285.00, MRT_to_KB_001.37_3, 285.00, 1008.67, 276, 85.00, 85.00, 10.00, 3, 69.98, 3, 31.67, 31.67, 3.36, 0.92, 33.45, 1.11, 9.77, 1.23, 32, 32, 32, 340.97, 10.00
600.00, 900.00, 311.00, MRT_to_KB_001.37_3, 311.00, 955.07, 305, 75.00, 75.00, 10.00, 3, 69.98, 3, 51.83, 51.83, 3.18, 1.02, 24.31, 1.01, 9.89, 1.26, 33, 30, 33, 352.00, 6.00
900.00, 1200.00, 348.00, MRT_to_KB_001.37_3, 249.00, 884.04, 247, 101.00, 65.00, 10.00, 3, 73.00, 3, 69.60, 49.80, 2.95, 0.82, 25.87, 1.43, 7.53, 1.11, 33, 36, 36, 301.84, 3.00
1200.00, 1500.00, 308.00, MRT_to_KB_001.37_3, 308.00, 1083.12, 303, 81.00, 81.00, 10.00, 3, 69.98, 3, 61.60, 61.60, 3.61, 1.01, 31.71, 1.13, 9.22, 1.29, 36, 33, 36, 361.32, 8.00
1500.00, 1800.00, 346.00, MRT_to_KB_001.37_3, 192.00, 683.80, 263, 66.00, 61.00, 10.00, 4, 90.54, 4, 43.25, 24.00, 2.28, 0.88, 21.92, 1.64, 6.13, 1.24, 45, 47, 48, 334.46, 9.00
1800.00, 2100.00, 315.00, MRT_to_KB_001.37_3, 315.00, 1486.63, 400, 88.00, 88.00, 10.00, 3, 74.99, 3, 78.75, 78.75, 4.96, 1.33, 40.87, 0.90, 11.88, 1.62, 35, 34, 36, 457.92, 6.00
2100.00, 2400.00, 313.00, MRT_to_KB_001.37_3, 147.00, 723.72, 230, 98.00, 66.00, 10.00, 3, 74.99, 3, 78.25, 36.75, 2.41, 0.77, 23.03, 1.99, 5.32, 1.16, 47, 49, 49, 304.45, 4.00
2400.00, 2700.00, 453.00, MRT_to_KB_001.37_3, 453.00, 1488.38, 447, 91.00, 91.00, 10.00, 3, 79.98, 3, 75.50, 75.50, 4.96, 1.49, 38.79, 0.73, 16.12, 1.73, 29, 26, 29, 493.68, 6.00
2700.00, 3000.00, 484.00, MRT_to_KB_001.37_3, 295.00, 969.44, 292, 90.00, 76.00, 10.00, 3, 100.00, 3, 80.67, 49.17, 3.23, 0.97, 28.38, 1.64, 6.94, 1.34, 43, 46, 46, 362.89, 3.00
3000.00, 3300.00, 285.00, MRT_to_KB_001.37_3, 285.00, 1138.96, 280, 78.00, 78.00, 10.00, 3, 79.99, 3, 57.00, 57.00, 3.80, 0.93, 33.65, 1.13, 9.27, 1.20, 33, 30, 33, 331.87, 6.00
3300.00, 3600.00, 525.00, MRT_to_KB_001.37_3, 388.00, 1245.93, 374, 95.00, 95.00, 10.00, 3, 70.95, 3, 30.88, 22.82, 4.15, 1.25, 37.98, 1.42, 7.84, 1.75, 52, 55, 55, 479.68, 15.00
3600.00, 3601.00, 0.00, MRT_to_KB_001.37_3, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, -1.00, -1.00, 0.00, 0, 0, 0, 0.00, 0.00
