interval_begin, interval_end, interval_haltingDurationSum, interval_id, interval_intervalHaltingDurationSum, interval_jamLengthInMetersSum, interval_jamLengthInVehiclesSum, interval_maxHaltingDuration, interval_maxIntervalHaltingDuration, interval_maxJamLengthInMeters, interval_maxJamLengthInVehicles, interval_maxOccupancy, interval_maxVehicleNumber, interval_meanHaltingDuration, interval_meanIntervalHaltingDuration, interval_meanMaxJamLengthInMeters, interval_meanMaxJamLengthInVehicles, interval_meanOccupancy, interval_meanSpeed, interval_meanTimeLoss, interval_meanVehicleNumber, interval_nVehEntered, interval_nVehLeft, interval_nVehSeen, interval_sampledSeconds, interval_startedHalts
0.00, 300.00, 101.00, CMB_to_KBJ_001_1, 101.00, 1000.00, 100, 101.00, 101.00, 10.00, 1, 100.00, 1, 101.00, 101.00, 3.33, 0.33, 35.11, 0.56, 26.52, 0.38, 4, 4, 4, 110.13, 1.00
300.00, 600.00, 286.00, CMB_to_KBJ_001_1, 286.00, 1273.00, 283, 167.00, 167.00, 9.55, 2, 93.80, 3, 95.33, 95.33, 4.24, 0.94, 36.73, 0.25, 59.30, 1.02, 5, 5, 5, 301.03, 3.00
600.00, 900.00, 137.00, CMB_to_KBJ_001_1, 137.00, 868.54, 133, 62.00, 62.00, 10.00, 2, 100.00, 2, 34.25, 34.25, 2.90, 0.44, 31.05, 0.58, 20.93, 0.53, 7, 5, 7, 152.25, 4.00
900.00, 1200.00, 298.00, CMB_to_KBJ_001_1, 224.00, 1306.43, 223, 105.00, 103.00, 8.40, 2, 100.00, 2, 99.33, 74.67, 4.35, 0.74, 43.08, 0.30, 38.60, 0.80, 4, 6, 6, 235.88, 1.00
1200.00, 1500.00, 256.00, CMB_to_KBJ_001_1, 256.00, 967.38, 252, 123.00, 123.00, 9.65, 2, 100.00, 2, 64.00, 64.00, 3.22, 0.84, 28.13, 0.33, 37.82, 0.92, 7, 5, 7, 270.42, 4.00
1500.00, 1800.00, 381.00, CMB_to_KBJ_001_1, 167.00, 696.56, 164, 130.00, 103.00, 9.56, 2, 79.83, 2, 76.20, 33.40, 2.32, 0.55, 22.17, 0.55, 22.41, 0.64, 6, 8, 8, 185.87, 3.00
1800.00, 2100.00, 261.00, CMB_to_KBJ_001_1, 261.00, 556.70, 254, 74.00, 74.00, 10.00, 4, 89.03, 4, 37.28, 37.28, 1.86, 0.85, 17.81, 0.56, 21.47, 1.00, 13, 10, 13, 289.64, 7.00
2100.00, 2400.00, 404.00, CMB_to_KBJ_001_1, 285.00, 1307.85, 283, 142.00, 142.00, 10.00, 3, 100.00, 3, 80.80, 57.00, 4.36, 0.94, 36.96, 0.48, 25.38, 1.08, 9, 12, 12, 314.10, 2.00
2400.00, 2700.00, 388.00, CMB_to_KBJ_001_1, 388.00, 1207.23, 383, 120.00, 120.00, 10.00, 3, 100.00, 3, 77.60, 77.60, 4.02, 1.28, 32.60, 0.33, 36.58, 1.41, 11, 8, 11, 411.46, 5.00
2700.00, 3000.00, 629.00, CMB_to_KBJ_001_1, 329.00, 1492.10, 327, 144.00, 130.00, 10.00, 3, 97.78, 3, 125.80, 65.80, 4.97, 1.09, 41.78, 0.67, 17.17, 1.33, 18, 20, 21, 376.54, 3.00
3000.00, 3300.00, 288.00, CMB_to_KBJ_001_1, 288.00, 1140.82, 284, 133.00, 133.00, 8.10, 2, 100.00, 2, 72.00, 72.00, 3.80, 0.95, 33.25, 0.55, 22.04, 1.10, 13, 12, 14, 319.64, 5.00
3300.00, 3600.00, 252.00, CMB_to_KBJ_001_1, 219.00, 1385.11, 217, 134.00, 134.00, 8.73, 2, 100.00, 2, 63.00, 54.75, 4.62, 0.72, 49.42, 0.84, 14.36, 0.91, 15, 16, 17, 257.80, 2.00
3600.00, 3601.00, 15.00, CMB_to_KBJ_001_1, 1.00, 5.65, 1, 15.00, 1.00, 5.65, 1, 56.53, 1, 15.00, 1.00, 5.65, 1.00, 56.53, 0.00, 1.00, 1.00, 0, 0, 1, 1.00, 0.00
