interval_begin, interval_end, interval_haltingDurationSum, interval_id, interval_intervalHaltingDurationSum, interval_jamLengthInMetersSum, interval_jamLengthInVehiclesSum, interval_maxHaltingDuration, interval_maxIntervalHaltingDuration, interval_maxJamLengthInMeters, interval_maxJamLengthInVehicles, interval_maxOccupancy, interval_maxVehicleNumber, interval_meanHaltingDuration, interval_meanIntervalHaltingDuration, interval_meanMaxJamLengthInMeters, interval_meanMaxJamLengthInVehicles, interval_meanOccupancy, interval_meanSpeed, interval_meanTimeLoss, interval_meanVehicleNumber, interval_nVehEntered, interval_nVehLeft, interval_nVehSeen, interval_sampledSeconds, interval_startedHalts
0.00, 300.00, 102.00, P_to_KBJ_1, 102.00, 390.04, 100, 76.00, 76.00, 7.21, 2, 62.00, 2, 51.00, 51.00, 1.30, 0.33, 12.96, 0.38, 25.98, 0.37, 4, 2, 4, 106.91, 2.00
300.00, 600.00, 170.00, P_to_KBJ_1, 68.00, 269.13, 67, 79.00, 61.00, 7.20, 2, 62.00, 2, 56.67, 22.67, 0.90, 0.22, 10.20, 1.13, 9.54, 0.30, 6, 8, 8, 83.48, 1.00
600.00, 900.00, 24.00, P_to_KBJ_1, 24.00, 96.60, 23, 24.00, 24.00, 4.20, 1, 42.00, 1, 24.00, 24.00, 0.32, 0.08, 3.94, 2.05, 5.28, 0.12, 5, 5, 5, 31.47, 1.00
900.00, 1200.00, 44.00, P_to_KBJ_1, 44.00, 182.83, 42, 25.00, 25.00, 8.76, 2, 67.56, 2, 22.00, 22.00, 0.61, 0.14, 5.72, 0.93, 9.62, 0.18, 5, 3, 5, 51.83, 3.00
1200.00, 1500.00, 63.00, P_to_KBJ_1, 19.00, 81.37, 19, 34.00, 10.00, 8.76, 2, 67.56, 2, 31.50, 9.50, 0.27, 0.06, 3.02, 3.14, 2.98, 0.12, 6, 8, 8, 30.83, 0.00
1500.00, 1800.00, 219.00, P_to_KBJ_1, 219.00, 718.44, 215, 101.00, 101.00, 8.76, 2, 67.56, 2, 54.75, 54.75, 2.39, 0.72, 19.80, 0.32, 32.06, 0.79, 7, 5, 7, 229.54, 4.00
1800.00, 2100.00, 465.00, P_to_KBJ_1, 413.00, 1380.97, 410, 130.00, 130.00, 10.00, 3, 69.98, 3, 93.00, 82.60, 4.60, 1.37, 36.29, 0.56, 21.81, 1.58, 18, 20, 20, 454.81, 3.00
2100.00, 2400.00, 202.00, P_to_KBJ_1, 202.00, 1066.55, 195, 121.00, 121.00, 9.91, 2, 73.34, 2, 25.25, 25.25, 3.56, 0.65, 38.15, 0.51, 24.71, 0.79, 9, 8, 9, 230.82, 10.00
2400.00, 2700.00, 459.00, P_to_KBJ_1, 338.00, 1747.80, 507, 148.00, 133.00, 9.67, 3, 66.66, 3, 51.00, 37.55, 5.83, 1.69, 48.51, 0.40, 28.94, 1.94, 18, 18, 19, 566.26, 12.00
2700.00, 3000.00, 612.00, P_to_KBJ_1, 604.00, 2590.61, 598, 141.00, 133.00, 10.00, 3, 74.99, 3, 87.43, 86.28, 8.64, 1.99, 69.11, 0.15, 69.46, 2.13, 8, 7, 9, 632.20, 7.00
3000.00, 3300.00, 571.00, P_to_KBJ_1, 360.00, 1341.28, 350, 146.00, 83.00, 8.75, 2, 73.00, 2, 47.58, 30.00, 4.47, 1.17, 42.11, 0.41, 27.39, 1.37, 12, 13, 14, 395.89, 10.00
3300.00, 3600.00, 586.00, P_to_KBJ_1, 584.00, 2213.43, 576, 121.00, 121.00, 10.00, 3, 73.77, 3, 65.11, 64.89, 7.38, 1.92, 57.34, 0.28, 38.01, 2.12, 15, 14, 16, 620.91, 8.00
3600.00, 3601.00, 161.00, P_to_KBJ_1, 2.00, 9.01, 2, 82.00, 1.00, 9.01, 2, 65.07, 2, 80.50, 1.00, 9.01, 2.00, 65.07, 0.00, 1.00, 2.00, 0, 0, 2, 2.00, 0.00
