interval_begin, interval_end, interval_haltingDurationSum, interval_id, interval_intervalHaltingDurationSum, interval_jamLengthInMetersSum, interval_jamLengthInVehiclesSum, interval_maxHaltingDuration, interval_maxIntervalHaltingDuration, interval_maxJamLengthInMeters, interval_maxJamLengthInVehicles, interval_maxOccupancy, interval_maxVehicleNumber, interval_meanHaltingDuration, interval_meanIntervalHaltingDuration, interval_meanMaxJamLengthInMeters, interval_meanMaxJamLengthInVehicles, interval_meanOccupancy, interval_meanSpeed, interval_meanTimeLoss, interval_meanVehicleNumber, interval_nVehEntered, interval_nVehLeft, interval_nVehSeen, interval_sampledSeconds, interval_startedHalts
0.00, 300.00, 139.00, CMB_to_KBJ_001_2, 139.00, 1379.25, 138, 139.00, 139.00, 10.00, 1, 100.00, 2, 139.00, 139.00, 4.60, 0.46, 48.80, 0.72, 21.46, 0.54, 7, 7, 7, 157.15, 1.00
300.00, 600.00, 96.00, CMB_to_KBJ_001_2, 96.00, 587.44, 117, 67.00, 67.00, 10.00, 2, 100.00, 2, 48.00, 48.00, 1.96, 0.39, 21.60, 1.18, 10.55, 0.53, 13, 13, 13, 148.25, 4.00
600.00, 900.00, 138.00, CMB_to_KBJ_001_2, 138.00, 450.85, 138, 98.00, 98.00, 9.56, 2, 97.78, 2, 69.00, 69.00, 1.50, 0.46, 16.22, 0.92, 11.83, 0.59, 13, 13, 13, 162.95, 4.00
900.00, 1200.00, 95.00, CMB_to_KBJ_001_2, 95.00, 670.35, 129, 33.00, 33.00, 10.00, 2, 100.00, 2, 23.75, 23.75, 2.23, 0.43, 25.53, 1.03, 12.57, 0.57, 12, 12, 12, 160.72, 6.00
1200.00, 1500.00, 210.00, CMB_to_KBJ_001_2, 210.00, 600.12, 225, 74.00, 74.00, 9.90, 2, 97.96, 2, 70.00, 70.00, 2.00, 0.75, 19.25, 0.63, 17.23, 0.87, 14, 12, 14, 250.69, 5.00
1500.00, 1800.00, 260.00, CMB_to_KBJ_001_2, 123.00, 654.44, 138, 80.00, 49.00, 10.00, 3, 100.00, 3, 32.50, 15.38, 2.18, 0.46, 24.28, 1.78, 6.50, 0.73, 25, 27, 27, 196.22, 7.00
1800.00, 2100.00, 192.00, CMB_to_KBJ_001_2, 192.00, 727.47, 189, 100.00, 100.00, 10.00, 2, 98.86, 2, 64.00, 64.00, 2.42, 0.63, 25.03, 0.85, 11.63, 0.79, 18, 17, 18, 220.63, 4.00
2100.00, 2400.00, 390.00, CMB_to_KBJ_001_2, 341.00, 1109.10, 336, 119.00, 119.00, 10.00, 3, 100.00, 3, 65.00, 56.83, 3.70, 1.12, 29.00, 0.93, 13.14, 1.39, 27, 28, 28, 389.94, 5.00
2400.00, 2700.00, 213.00, CMB_to_KBJ_001_2, 213.00, 795.82, 227, 117.00, 117.00, 10.00, 3, 79.99, 3, 42.60, 42.60, 2.65, 0.76, 25.50, 0.74, 14.72, 0.91, 17, 15, 17, 261.65, 8.00
2700.00, 3000.00, 433.00, CMB_to_KBJ_001_2, 376.00, 1274.96, 372, 117.00, 117.00, 10.00, 3, 98.68, 3, 72.17, 62.67, 4.25, 1.24, 33.49, 0.60, 20.90, 1.43, 17, 19, 19, 412.12, 4.00
3000.00, 3300.00, 291.00, CMB_to_KBJ_001_2, 291.00, 890.01, 285, 85.00, 85.00, 10.00, 3, 87.33, 3, 48.50, 48.50, 2.97, 0.95, 24.43, 0.70, 17.08, 1.12, 18, 16, 18, 321.05, 6.00
3300.00, 3600.00, 284.00, CMB_to_KBJ_001_2, 196.00, 1326.47, 211, 103.00, 103.00, 10.00, 4, 100.00, 4, 47.33, 32.67, 4.42, 0.70, 45.28, 1.29, 9.04, 0.92, 24, 26, 26, 254.52, 5.00
3600.00, 3601.00, 0.00, CMB_to_KBJ_001_2, 0.00, 0.00, 0, 0.00, 0.00, 0.00, 0, 0.00, 0, 0.00, 0.00, 0.00, 0.00, 0.00, -1.00, -1.00, 0.00, 0, 0, 0, 0.00, 0.00
